File,BIC
ILM15_replicate5_19.str.admix.K=8.out,9334.733811
ILM15_replicate5_1.str.admix.K=8.out,9180.324733
ILM15_replicate5_2.str.admix.K=8.out,10679.491316
ILM15_replicate5_3.str.admix.K=8.out,8223.385231
ILM15_replicate5_4.str.admix.K=8.out,8614.365523
ILM15_replicate5_5.str.admix.K=8.out,9063.165706
ILM15_replicate5_6.str.admix.K=8.out,7873.856407
ILM15_replicate5_7.str.admix.K=8.out,9031.546148
ILM15_replicate5_8.str.admix.K=8.out,9661.988559
ILM15_replicate5_9.str.admix.K=8.out,8516.775420
ILM15_replicate6_0.str.admix.K=8.out,8034.132047
ILM15_replicate6_10.str.admix.K=8.out,9228.151429
ILM15_replicate6_11.str.admix.K=8.out,9551.388367
ILM15_replicate6_12.str.admix.K=8.out,7907.697596
ILM15_replicate6_13.str.admix.K=8.out,9499.891137
ILM15_replicate6_14.str.admix.K=8.out,10729.692776
ILM15_replicate6_15.str.admix.K=8.out,10349.920844
ILM15_replicate6_16.str.admix.K=8.out,8188.831782
ILM15_replicate6_17.str.admix.K=8.out,10309.025498
ILM15_replicate6_18.str.admix.K=8.out,9607.125197
ILM15_replicate6_19.str.admix.K=8.out,9982.321868
ILM15_replicate6_1.str.admix.K=8.out,12979.615716
ILM15_replicate6_2.str.admix.K=8.out,10384.625948
ILM15_replicate6_3.str.admix.K=8.out,10474.348520
ILM15_replicate6_4.str.admix.K=8.out,7973.304575
ILM15_replicate6_5.str.admix.K=8.out,18881.454562
ILM15_replicate6_6.str.admix.K=8.out,13398.543151
ILM15_replicate6_7.str.admix.K=8.out,8292.155997
ILM15_replicate6_8.str.admix.K=8.out,8115.848157
ILM15_replicate6_9.str.admix.K=8.out,11192.460598
ILM15_replicate7_0.str.admix.K=8.out,8469.678183
ILM15_replicate7_10.str.admix.K=8.out,9754.928622
ILM15_replicate7_11.str.admix.K=8.out,9778.923897
ILM15_replicate7_12.str.admix.K=8.out,11195.772972
ILM15_replicate7_13.str.admix.K=8.out,10497.367139
ILM15_replicate7_14.str.admix.K=8.out,8599.223393
ILM15_replicate7_15.str.admix.K=8.out,11382.404471
ILM15_replicate7_16.str.admix.K=8.out,9955.303453
ILM15_replicate7_17.str.admix.K=8.out,9462.455365
ILM15_replicate7_18.str.admix.K=8.out,15439.143778
ILM15_replicate7_19.str.admix.K=8.out,9781.375305
ILM15_replicate7_1.str.admix.K=8.out,10824.960804
ILM15_replicate7_2.str.admix.K=8.out,10643.104598
ILM15_replicate7_3.str.admix.K=8.out,8235.214085
ILM15_replicate7_4.str.admix.K=8.out,11550.897454
ILM15_replicate7_5.str.admix.K=8.out,8757.104627
ILM15_replicate7_6.str.admix.K=8.out,9378.097389
ILM15_replicate7_7.str.admix.K=8.out,8821.161221
ILM15_replicate7_8.str.admix.K=8.out,11536.478437
ILM15_replicate7_9.str.admix.K=8.out,8952.171083
ILM15_replicate8_0.str.admix.K=8.out,7555.503465
ILM15_replicate8_10.str.admix.K=8.out,10121.025852
ILM15_replicate8_11.str.admix.K=8.out,8487.671139
ILM15_replicate8_12.str.admix.K=8.out,7207.003038
ILM15_replicate8_13.str.admix.K=8.out,8542.153470
ILM15_replicate8_14.str.admix.K=8.out,12932.416580
ILM15_replicate8_15.str.admix.K=8.out,15439.143778
ILM15_replicate8_16.str.admix.K=8.out,9247.390169
ILM15_replicate8_17.str.admix.K=8.out,8476.906008
ILM15_replicate8_18.str.admix.K=8.out,9661.988559
ILM15_replicate8_19.str.admix.K=8.out,8167.415760
ILM15_replicate8_1.str.admix.K=8.out,11237.536108
ILM15_replicate8_2.str.admix.K=8.out,8969.367299
ILM15_replicate8_3.str.admix.K=8.out,8463.887917
ILM15_replicate8_4.str.admix.K=8.out,10692.653872
ILM15_replicate8_5.str.admix.K=8.out,8821.161221
ILM15_replicate8_6.str.admix.K=8.out,10553.976387
ILM15_replicate8_7.str.admix.K=8.out,7799.028847
ILM15_replicate8_8.str.admix.K=8.out,8961.676274
ILM15_replicate8_9.str.admix.K=8.out,9119.513927
ILM15_replicate9_0.str.admix.K=8.out,7931.549332
ILM15_replicate9_10.str.admix.K=8.out,12206.158244
ILM15_replicate9_11.str.admix.K=8.out,7643.632112
ILM15_replicate9_12.str.admix.K=8.out,12241.280495
ILM15_replicate9_13.str.admix.K=8.out,11024.626690
ILM15_replicate9_14.str.admix.K=8.out,8504.758509
ILM15_replicate9_15.str.admix.K=8.out,11117.790762
ILM15_replicate9_16.str.admix.K=8.out,9017.119505
ILM15_replicate9_17.str.admix.K=8.out,9936.346207
ILM15_replicate9_18.str.admix.K=8.out,9133.212081
ILM15_replicate9_19.str.admix.K=8.out,10171.584009
ILM15_replicate9_1.str.admix.K=8.out,7977.643279
ILM15_replicate9_2.str.admix.K=8.out,8074.455899
ILM15_replicate9_3.str.admix.K=8.out,9820.560428
ILM15_replicate9_4.str.admix.K=8.out,9732.285045
ILM15_replicate9_5.str.admix.K=8.out,7498.094207
ILM15_replicate9_6.str.admix.K=8.out,11028.198520
ILM15_replicate9_7.str.admix.K=8.out,8368.706630
ILM15_replicate9_8.str.admix.K=8.out,10267.282756
ILM15_replicate9_9.str.admix.K=8.out,10771.478537
