i	k	etaik
103	1	0.000000
103	2	0.000000
104	0	0.518052
104	1	0.481948
104	2	0.000000
105	0	0.000000
105	1	1.000000
105	2	0.000000
106	0	0.495720
106	1	0.504280
106	2	0.000000
107	0	0.000000
107	1	1.000000
107	2	0.000000
108	0	1.000000
108	1	0.000000
108	2	0.000000
109	0	0.000000
109	1	0.564511
109	2	0.435489
110	0	0.000000
110	1	0.402598
110	2	0.597402
111	0	0.000000
111	1	0.469124
111	2	0.530876
112	0	0.000000
112	1	0.602973
112	2	0.397027
113	0	0.000000
113	1	0.564511
113	2	0.435489
114	0	0.000000
114	1	0.000000
114	2	1.000000
115	0	0.541088
115	1	0.000000
115	2	0.458912
116	0	0.000000
116	1	0.000000
116	2	1.000000
117	0	0.000000
117	1	0.625974
117	2	0.374026
118	0	0.000000
118	1	0.000000
118	2	1.000000
119	0	0.000000
119	1	1.000000
119	2	0.000000
120	0	0.000000
120	1	1.000000
120	2	0.000000
121	0	0.495720
121	1	0.504280
121	2	0.000000
122	0	0.495720
122	1	0.504280
122	2	0.000000
123	0	0.000000
123	1	1.000000
123	2	0.000000
124	0	0.495720
124	1	0.504280
124	2	0.000000
125	0	0.495720
125	1	0.504280
125	2	0.000000
126	0	0.000000
126	1	1.000000
126	2	0.000000
127	0	0.000000
127	1	0.391842
127	2	0.608158
128	0	0.000000
128	1	1.000000
128	2	0.000000
129	0	0.468016
129	1	0.000000
129	2	0.531983
130	0	0.541088
130	1	0.000000
130	2	0.458912
131	0	0.518052
131	1	0.481948
131	2	0.000000
132	0	0.000000
132	1	1.000000
132	2	0.000000
133	0	0.518052
133	1	0.481948
133	2	0.000000
134	0	0.000000
134	1	0.574742
134	2	0.425258
135	0	0.000000
135	1	1.000000
135	2	0.000000
136	0	0.000000
136	1	1.000000
136	2	0.000000
137	0	0.541088
137	1	0.000000
137	2	0.458912
138	0	0.000000
138	1	0.602973
138	2	0.397027
139	0	0.000000
139	1	1.000000
139	2	0.000000
140	0	0.000000
140	1	1.000000
140	2	0.000000
141	0	0.000000
141	1	0.602973
141	2	0.397027
142	0	0.000000
142	1	0.602973
142	2	0.397027
143	0	0.000000
143	1	1.000000
143	2	0.000000
144	0	0.000000
144	1	0.626117
144	2	0.373882
145	0	0.000000
145	1	0.592573
145	2	0.407427
146	0	0.000000
146	1	0.000000
146	2	1.000000
147	0	0.000000
147	1	1.000000
147	2	0.000000
148	0	0.495720
148	1	0.504280
148	2	0.000000
149	0	0.000000
149	1	1.000000
149	2	0.000000

