File,AIC
ILM15_replicate0_0.str.admix.K=14.out,6285.639428
ILM15_replicate0_10.str.admix.K=14.out,6759.128420
ILM15_replicate0_11.str.admix.K=14.out,6369.421130
ILM15_replicate0_12.str.admix.K=14.out,5388.171921
ILM15_replicate0_13.str.admix.K=14.out,9894.602749
ILM15_replicate0_14.str.admix.K=14.out,7887.023986
ILM15_replicate0_15.str.admix.K=14.out,6732.486401
ILM15_replicate0_16.str.admix.K=14.out,10682.367750
ILM15_replicate0_17.str.admix.K=14.out,6515.363188
ILM15_replicate0_18.str.admix.K=14.out,6381.863457
ILM15_replicate0_19.str.admix.K=14.out,6315.308619
ILM15_replicate0_1.str.admix.K=14.out,7634.242300
ILM15_replicate0_2.str.admix.K=14.out,13445.192260
ILM15_replicate0_3.str.admix.K=14.out,5773.134207
ILM15_replicate0_4.str.admix.K=14.out,7114.314689
ILM15_replicate0_5.str.admix.K=14.out,6767.480688
ILM15_replicate0_6.str.admix.K=14.out,9385.170099
ILM15_replicate0_7.str.admix.K=14.out,5543.820859
ILM15_replicate0_8.str.admix.K=14.out,7532.302984
ILM15_replicate0_9.str.admix.K=14.out,10793.790367
ILM15_replicate1_0.str.admix.K=14.out,7794.612849
ILM15_replicate1_10.str.admix.K=14.out,6188.850882
ILM15_replicate1_11.str.admix.K=14.out,6627.008818
ILM15_replicate1_12.str.admix.K=14.out,7647.343757
ILM15_replicate1_13.str.admix.K=14.out,8656.988122
ILM15_replicate1_14.str.admix.K=14.out,7383.615142
ILM15_replicate1_15.str.admix.K=14.out,6856.421614
ILM15_replicate1_16.str.admix.K=14.out,7085.756827
ILM15_replicate1_17.str.admix.K=14.out,6666.186270
ILM15_replicate1_18.str.admix.K=14.out,6933.052915
ILM15_replicate1_19.str.admix.K=14.out,8420.427006
ILM15_replicate1_1.str.admix.K=14.out,6776.516008
ILM15_replicate1_2.str.admix.K=14.out,6782.675273
ILM15_replicate1_3.str.admix.K=14.out,7345.510422
ILM15_replicate1_4.str.admix.K=14.out,8164.440905
ILM15_replicate1_5.str.admix.K=14.out,6381.914965
ILM15_replicate1_6.str.admix.K=14.out,5582.895391
ILM15_replicate1_7.str.admix.K=14.out,7485.209398
ILM15_replicate1_8.str.admix.K=14.out,6884.706415
ILM15_replicate1_9.str.admix.K=14.out,8209.829906
ILM15_replicate2_0.str.admix.K=14.out,8325.059163
ILM15_replicate2_10.str.admix.K=14.out,7345.510422
ILM15_replicate2_11.str.admix.K=14.out,7059.867671
ILM15_replicate2_12.str.admix.K=14.out,6731.142577
ILM15_replicate2_13.str.admix.K=14.out,6764.954712
ILM15_replicate2_14.str.admix.K=14.out,8947.136023
ILM15_replicate2_15.str.admix.K=14.out,9159.953869
ILM15_replicate2_16.str.admix.K=14.out,7497.420536
ILM15_replicate2_17.str.admix.K=14.out,7689.560770
ILM15_replicate2_18.str.admix.K=14.out,7109.537418
ILM15_replicate2_19.str.admix.K=14.out,6210.804726
ILM15_replicate2_1.str.admix.K=14.out,5608.225770
ILM15_replicate2_2.str.admix.K=14.out,6142.705867
ILM15_replicate2_3.str.admix.K=14.out,5977.548942
ILM15_replicate2_4.str.admix.K=14.out,7467.790735
ILM15_replicate2_5.str.admix.K=14.out,6731.072389
ILM15_replicate2_6.str.admix.K=14.out,7705.572243
