i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.000000
0	4	1.000000
0	5	0.000000
0	6	0.000000
1	0	0.247535
1	1	0.000000
1	2	0.000000
1	3	0.000000
1	4	0.752465
1	5	0.000000
1	6	0.000000
2	0	0.002125
2	1	0.494450
2	2	0.000000
2	3	0.503425
2	4	0.000000
2	5	0.000000
2	6	0.000000
3	0	0.000000
3	1	0.000000
3	2	0.000000
3	3	0.000000
3	4	1.000000
3	5	0.000000
3	6	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	1.000000
4	5	0.000000
4	6	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	1.000000
5	5	0.000000
5	6	0.000000
6	0	0.000229
6	1	0.487933
6	2	0.000000
6	3	0.000000
6	4	0.511838
6	5	0.000000
6	6	0.000000
7	0	0.000000
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	1.000000
7	5	0.000000
7	6	0.000000
8	0	0.460262
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.539734
8	5	0.000000
8	6	0.000004
9	0	0.339027
9	1	0.000000
9	2	0.000000
9	3	0.358263
9	4	0.302704
9	5	0.000000
9	6	0.000006
10	0	0.000003
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.459803
10	5	0.540194
10	6	0.000000
11	0	0.497189
11	1	0.000000
11	2	0.000000
11	3	0.000000
11	4	0.000000
11	5	0.502810
11	6	0.000001
12	0	0.194511
12	1	0.000000
12	2	0.000000
12	3	0.000000
12	4	0.302681
12	5	0.502807
12	6	0.000000
13	0	0.000004
13	1	0.000000
13	2	0.000000
13	3	0.000000
13	4	0.999996
13	5	0.000000
13	6	0.000000
14	0	0.000000
14	1	0.002814
14	2	0.000000
14	3	0.000000
14	4	0.000000
14	5	0.997186
14	6	0.000000
15	0	0.000000
15	1	0.000000
15	2	0.000000
15	3	0.000000
15	4	0.000000
15	5	0.999999
15	6	0.000000
16	0	0.086583
