i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.507641
0	4	0.492359
1	0	0.494808
1	1	0.000000
1	2	0.505192
1	3	0.000000
1	4	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.522191
2	3	0.000000
2	4	0.477809
3	0	0.000000
3	1	0.000000
3	2	0.000000
3	3	0.490350
3	4	0.509650
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	1.000000
4	4	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.490350
5	4	0.509650
6	0	0.000000
6	1	0.000000
6	2	0.585081
6	3	0.414919
6	4	0.000000
7	0	0.497654
7	1	0.000000
7	2	0.502346
7	3	0.000000
7	4	0.000000
8	0	0.491329
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.508671
9	0	0.000000
9	1	0.000000
9	2	1.000000
9	3	0.000000
9	4	0.000000
10	0	0.467607
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.532392
11	0	0.494808
11	1	0.000000
11	2	0.505192
11	3	0.000000
11	4	0.000000
12	0	0.488355
12	1	0.000000
12	2	0.000000
12	3	0.511645
12	4	0.000000
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	1.000000
13	4	0.000000
14	0	0.491652
14	1	0.000000
14	2	0.000000
14	3	0.000000
14	4	0.508348
15	0	0.509395
15	1	0.000000
15	2	0.490605
15	3	0.000000
15	4	0.000000
16	0	1.000000
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	0.000000
17	0	0.480657
17	1	0.519343
17	2	0.000000
17	3	0.000000
17	4	0.000000
18	0	0.510803
18	1	0.311405
18	2	0.177793
18	3	0.000000
18	4	0.000000
19	0	0.000000
19	1	0.000000
19	2	0.468491
19	3	0.000000
19	4	0.531509
20	0	0.000000
20	1	0.299639
20	2	0.177959
20	3	0.000000
20	4	0.522403
21	0	0.000000
21	1	0.315374
21	2	0.684626
21	3	0.000000
21	4	0.000000
22	0	0.000000
22	1	0.481675
22	2	0.000000
