i	k	etaik
0	0	0.000000
0	1	0.522194
0	2	0.477780
0	3	0.000027
1	0	0.000000
1	1	0.000000
1	2	0.093575
1	3	0.906425
2	0	0.000000
2	1	0.000000
2	2	0.093576
2	3	0.906424
3	0	0.000000
3	1	0.522194
3	2	0.477780
3	3	0.000026
4	0	1.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
5	0	0.000000
5	1	1.000000
5	2	0.000000
5	3	0.000000
6	0	0.000000
6	1	0.000000
6	2	1.000000
6	3	0.000000
7	0	0.000000
7	1	0.000000
7	2	0.093571
7	3	0.906429
8	0	0.445234
8	1	0.000000
8	2	0.000000
8	3	0.554766
9	0	0.000000
9	1	0.463132
9	2	0.536868
9	3	0.000000
10	0	0.000000
10	1	0.441808
10	2	0.000000
10	3	0.558192
11	0	0.000000
11	1	0.522194
11	2	0.477780
11	3	0.000026
12	0	0.000000
12	1	1.000000
12	2	0.000000
12	3	0.000000
13	0	0.000000
13	1	1.000000
13	2	0.000000
13	3	0.000000
14	0	0.000000
14	1	0.522194
14	2	0.477780
14	3	0.000027
15	0	0.000000
15	1	0.522194
15	2	0.477780
15	3	0.000027
16	0	0.000000
16	1	1.000000
16	2	0.000000
16	3	0.000000
17	0	0.435529
17	1	0.564471
17	2	0.000000
17	3	0.000000
18	0	0.000000
18	1	0.000000
18	2	0.876024
18	3	0.123976
19	0	0.561950
19	1	0.000000
19	2	0.437734
19	3	0.000316
20	0	0.000000
20	1	0.441808
20	2	0.000001
20	3	0.558192
21	0	1.000000
21	1	0.000000
21	2	0.000000
21	3	0.000000
22	0	0.000000
22	1	0.000000
22	2	0.093571
22	3	0.906429
23	0	0.377638
23	1	0.000000
23	2	0.000000
23	3	0.622362
24	0	0.320012
24	1	0.000000
24	2	0.679988
24	3	0.000000
25	0	1.000000
25	1	0.000000
25	2	0.000000
25	3	0.000000
26	0	1.000000
26	1	0.000000
26	2	0.000000
26	3	0.000000
27	0	0.320012
27	1	0.000000
27	2	0.679988
27	3	0.000000
28	0	0.000000
28	1	0.000000
28	2	0.000000
28	3	1.000000
29	0	0.000000
29	1	0.450012
29	2	0.000000
29	3	0.549988
30	0	0.547308
30	1	0.000000
30	2	0.000000
30	3	0.452692
31	0	0.538830
31	1	0.461170
31	2	0.000000
31	3	0.000000
32	0	0.000000
32	1	0.000000
32	2	0.340569
32	3	0.659431
33	0	0.475968
33	1	0.000000
33	2	0.524032
33	3	0.000000
34	0	0.488764
34	1	0.000000
34	2	0.511236
34	3	0.000000
35	0	0.000000
35	1	0.522194
35	2	0.477780
35	3	0.000027
36	0	0.000000
36	1	0.000000
36	2	1.000000
36	3	0.000000
37	0	0.404807
37	1	0.595193
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	1.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.201535
39	3	0.798465
40	0	0.000000
40	1	0.000000
40	2	0.646117
40	3	0.353883
41	0	0.000000
41	1	0.000000
41	2	1.000000
41	3	0.000000
42	0	0.480716
42	1	0.000003
42	2	0.519282
42	3	0.000000
43	0	0.452385
43	1	0.000000
43	2	0.000000
43	3	0.547615
44	0	0.000000
44	1	0.000000
44	2	1.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	1.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	1.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	1.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	1.000000
48	3	0.000000
49	0	0.430343
49	1	0.569657
49	2	0.000000
49	3	0.000000
50	0	0.388357
50	1	0.000000
50	2	0.611643
50	3	0.000000
51	0	0.485346
51	1	0.000003
51	2	0.514651
51	3	0.000000
52	0	0.485346
52	1	0.000003
52	2	0.514651
52	3	0.000000
53	0	0.000000
53	1	0.000000
53	2	1.000000
53	3	0.000000
54	0	0.000000
54	1	0.470092
54	2	0.529908
54	3	0.000000
55	0	0.388357
55	1	0.000000
55	2	0.611643
55	3	0.000000
56	0	0.000000
56	1	0.525388
56	2	0.474612
56	3	0.000000
57	0	0.404807
57	1	0.595193
57	2	0.000000
57	3	0.000000
58	0	0.000000
58	1	0.000000
58	2	1.000000
58	3	0.000000
59	0	0.624956
59	1	0.000000
59	2	0.370781
59	3	0.004264
60	0	0.556399
60	1	0.000000
60	2	0.443374
60	3	0.000227
61	0	0.482592
61	1	0.000000
61	2	0.517408
61	3	0.000000
62	0	0.000000
62	1	0.000000
62	2	0.876024
62	3	0.123976
63	0	0.000000
63	1	0.000000
63	2	0.201535
63	3	0.798465
64	0	0.430343
64	1	0.569657
64	2	0.000000
64	3	0.000000
65	0	1.000000
65	1	0.000000
65	2	0.000000
65	3	0.000000
66	0	0.498854
66	1	0.000000
66	2	0.000000
66	3	0.501146
67	0	1.000000
67	1	0.000000
67	2	0.000000
67	3	0.000000
68	0	0.000000
68	1	0.000000
68	2	0.201535
68	3	0.798465
69	0	0.490987
69	1	0.000000
69	2	0.000000
69	3	0.509013
70	0	0.000000
70	1	1.000000
70	2	0.000000
70	3	0.000000
71	0	0.000000
71	1	1.000000
71	2	0.000000
71	3	0.000000
72	0	0.000000
72	1	0.530666
72	2	0.000000
72	3	0.469334
73	0	0.451208
73	1	0.548792
73	2	0.000000
73	3	0.000000
74	0	0.000000
74	1	1.000000
74	2	0.000000
74	3	0.000000
75	0	0.000000
75	1	1.000000
75	2	0.000000
75	3	0.000000
76	0	0.000000
76	1	1.000000
76	2	0.000000
76	3	0.000000
77	0	0.495773
77	1	0.000000
77	2	0.000000
77	3	0.504227
78	0	1.000000
78	1	0.000000
78	2	0.000000
78	3	0.000000
79	0	0.513674
79	1	0.486326
79	2	0.000000
79	3	0.000000
80	0	0.000000
80	1	1.000000
80	2	0.000000
80	3	0.000000
81	0	0.000000
81	1	0.537580
81	2	0.119575
81	3	0.342845
82	0	0.000000
82	1	1.000000
82	2	0.000000
82	3	0.000000
83	0	0.333156
83	1	0.666844
83	2	0.000000
83	3	0.000000
84	0	0.000000
84	1	1.000000
84	2	0.000000
84	3	0.000000
85	0	0.404807
85	1	0.595193
85	2	0.000000
85	3	0.000000
86	0	0.000000
86	1	0.441808
86	2	0.000000
86	3	0.558192
