i	k	etaik
0	0	0.000000
0	1	1.000000
0	2	0.000000
0	3	0.000000
1	0	0.000000
1	1	1.000000
1	2	0.000000
1	3	0.000000
2	0	0.000000
2	1	1.000000
2	2	0.000000
2	3	0.000000
3	0	0.000000
3	1	1.000000
3	2	0.000000
3	3	0.000000
4	0	0.000000
4	1	1.000000
4	2	0.000000
4	3	0.000000
5	0	0.000000
5	1	1.000000
5	2	0.000000
5	3	0.000000
6	0	0.000000
6	1	1.000000
6	2	0.000000
6	3	0.000000
7	0	0.000000
7	1	1.000000
7	2	0.000000
7	3	0.000000
8	0	0.000000
8	1	1.000000
8	2	0.000000
8	3	0.000000
9	0	0.000000
9	1	1.000000
9	2	0.000000
9	3	0.000000
10	0	0.000000
10	1	1.000000
10	2	0.000000
10	3	0.000000
11	0	0.000000
11	1	1.000000
11	2	0.000000
11	3	0.000000
12	0	0.000000
12	1	1.000000
12	2	0.000000
12	3	0.000000
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	1.000000
14	0	0.000000
14	1	0.437586
14	2	0.000000
14	3	0.562414
15	0	0.000000
15	1	0.000000
15	2	0.000000
15	3	1.000000
16	0	0.579053
16	1	0.420947
16	2	0.000000
16	3	0.000000
17	0	0.000000
17	1	0.437586
17	2	0.000000
17	3	0.562414
18	0	0.000000
18	1	1.000000
18	2	0.000000
18	3	0.000000
19	0	0.000000
19	1	0.000000
19	2	0.000000
19	3	1.000000
20	0	1.000000
20	1	0.000000
20	2	0.000000
20	3	0.000000
21	0	0.564186
21	1	0.000000
21	2	0.000055
21	3	0.435759
22	0	0.000014
22	1	0.000000
22	2	0.000000
22	3	0.999986
23	0	0.000005
23	1	0.000000
23	2	0.000000
23	3	0.999995
24	0	1.000000
24	1	0.000000
24	2	0.000000
24	3	0.000000
25	0	0.000012
25	1	0.000000
25	2	0.000000
25	3	0.999988
26	0	0.564190
26	1	0.000000
26	2	0.000068
26	3	0.435743
27	0	1.000000
27	1	0.000000
27	2	0.000000
27	3	0.000000
28	0	0.550009
28	1	0.000000
28	2	0.304801
28	3	0.145190
29	0	0.564189
29	1	0.000000
29	2	0.000066
29	3	0.435745
30	0	1.000000
30	1	0.000000
30	2	0.000000
30	3	0.000000
31	0	0.459037
31	1	0.000000
31	2	0.540953
31	3	0.000010
32	0	1.000000
32	1	0.000000
32	2	0.000000
32	3	0.000000
33	0	1.000000
33	1	0.000000
33	2	0.000000
33	3	0.000000
34	0	1.000000
34	1	0.000000
34	2	0.000000
34	3	0.000000
35	0	1.000000
35	1	0.000000
35	2	0.000000
35	3	0.000000
36	0	1.000000
36	1	0.000000
36	2	0.000000
36	3	0.000000
37	0	1.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	1.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.454808
39	1	0.000000
39	2	0.545183
39	3	0.000009
40	0	0.000000
40	1	0.000000
40	2	1.000000
40	3	0.000000
41	0	0.506597
41	1	0.000000
41	2	0.493402
41	3	0.000001
42	0	0.557549
42	1	0.000000
42	2	0.442439
42	3	0.000012
43	0	0.462995
43	1	0.000000
43	2	0.537005
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	1.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	1.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	1.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	1.000000
47	3	0.000000
48	0	0.506598
48	1	0.000000
48	2	0.493402
48	3	0.000000
49	0	0.462995
49	1	0.000000
49	2	0.537005
49	3	0.000000

