File,AIC
SS5_replicate5_7.str.admix.K=4.out,743.626519
SS5_replicate5_8.str.admix.K=4.out,902.577690
SS5_replicate5_9.str.admix.K=4.out,565.395752
SS5_replicate6_0.str.admix.K=4.out,1035.994884
SS5_replicate6_10.str.admix.K=4.out,942.084358
SS5_replicate6_11.str.admix.K=4.out,533.048632
SS5_replicate6_12.str.admix.K=4.out,429.476474
SS5_replicate6_13.str.admix.K=4.out,620.506240
SS5_replicate6_14.str.admix.K=4.out,951.340738
SS5_replicate6_15.str.admix.K=4.out,806.493223
SS5_replicate6_16.str.admix.K=4.out,871.549563
SS5_replicate6_17.str.admix.K=4.out,1024.430835
SS5_replicate6_18.str.admix.K=4.out,1035.823751
SS5_replicate6_19.str.admix.K=4.out,708.882836
SS5_replicate6_1.str.admix.K=4.out,547.920462
SS5_replicate6_2.str.admix.K=4.out,770.178998
SS5_replicate6_3.str.admix.K=4.out,520.192760
SS5_replicate6_4.str.admix.K=4.out,1112.067720
SS5_replicate6_5.str.admix.K=4.out,1158.905668
SS5_replicate6_6.str.admix.K=4.out,761.405196
SS5_replicate6_7.str.admix.K=4.out,786.104451
SS5_replicate6_8.str.admix.K=4.out,471.766124
SS5_replicate6_9.str.admix.K=4.out,1117.633917
SS5_replicate7_0.str.admix.K=4.out,577.130436
SS5_replicate7_10.str.admix.K=4.out,465.538369
SS5_replicate7_11.str.admix.K=4.out,691.070356
SS5_replicate7_12.str.admix.K=4.out,608.949821
SS5_replicate7_13.str.admix.K=4.out,1075.341071
SS5_replicate7_14.str.admix.K=4.out,904.325303
SS5_replicate7_15.str.admix.K=4.out,936.966089
SS5_replicate7_16.str.admix.K=4.out,1307.889510
SS5_replicate7_17.str.admix.K=4.out,846.535641
SS5_replicate7_18.str.admix.K=4.out,711.327349
SS5_replicate7_19.str.admix.K=4.out,899.889075
SS5_replicate7_1.str.admix.K=4.out,567.879276
SS5_replicate7_2.str.admix.K=4.out,618.475510
SS5_replicate7_3.str.admix.K=4.out,1349.819095
SS5_replicate7_4.str.admix.K=4.out,948.327503
SS5_replicate7_5.str.admix.K=4.out,469.233544
SS5_replicate7_6.str.admix.K=4.out,593.730148
SS5_replicate7_7.str.admix.K=4.out,821.243376
SS5_replicate7_8.str.admix.K=4.out,870.047680
SS5_replicate7_9.str.admix.K=4.out,728.847381
SS5_replicate8_0.str.admix.K=4.out,974.098487
SS5_replicate8_10.str.admix.K=4.out,927.847368
SS5_replicate8_11.str.admix.K=4.out,1514.774597
SS5_replicate8_12.str.admix.K=4.out,1459.980551
SS5_replicate8_13.str.admix.K=4.out,687.338053
SS5_replicate8_14.str.admix.K=4.out,958.751744
SS5_replicate8_15.str.admix.K=4.out,1368.864962
SS5_replicate8_16.str.admix.K=4.out,793.339155
SS5_replicate8_17.str.admix.K=4.out,758.515634
SS5_replicate8_18.str.admix.K=4.out,791.126612
SS5_replicate8_19.str.admix.K=4.out,693.458219
SS5_replicate8_1.str.admix.K=4.out,727.140735
SS5_replicate8_2.str.admix.K=4.out,766.450545
