k	l	m	KLM
0	0	0	0.076867
0	0	1	0.923133
0	1	0	1.000000
0	1	1	0.000000
0	2	0	0.984680
0	2	1	0.015320
0	3	0	0.248582
0	3	1	0.751418
0	4	0	0.000000
0	4	1	1.000000
0	5	0	0.000000
0	5	1	1.000000
0	6	0	0.687942
0	6	1	0.312058
0	7	0	0.861134
0	7	1	0.138866
0	8	0	1.000000
0	8	1	0.000000
0	9	0	1.000000
0	9	1	0.000000
0	10	0	0.000000
0	10	1	1.000000
0	11	0	0.000000
0	11	1	1.000000
0	12	0	0.687942
0	12	1	0.312058
0	13	0	1.000000
0	13	1	0.000000
0	14	0	1.000000
0	14	1	0.000000
0	15	0	1.000000
0	15	1	0.000000
1	0	0	0.000000
1	0	1	1.000000
1	1	0	0.000000
1	1	1	1.000000
1	2	0	1.000000
1	2	1	0.000000
1	3	0	0.000000
1	3	1	1.000000
1	4	0	0.216887
1	4	1	0.783113
1	5	0	0.028663
1	5	1	0.971337
1	6	0	1.000000
1	6	1	0.000000
1	7	0	1.000000
1	7	1	0.000000
1	8	0	0.783113
1	8	1	0.216887
1	9	0	0.783113
1	9	1	0.216887
1	10	0	1.000000
1	10	1	0.000000
1	11	0	1.000000
1	11	1	0.000000
1	12	0	1.000000
1	12	1	0.000000
1	13	0	0.783113
1	13	1	0.216887
1	14	0	0.000000
1	14	1	1.000000
1	15	0	0.000000
1	15	1	1.000000

