i	k	etaik
0	0	0.999999
0	1	0.000001
0	2	0.000000
0	3	0.000000
0	4	0.000000
1	0	0.999999
1	1	0.000001
1	2	0.000000
1	3	0.000000
1	4	0.000000
2	0	0.999997
2	1	0.000003
2	2	0.000000
2	3	0.000000
2	4	0.000000
3	0	0.999999
3	1	0.000001
3	2	0.000000
3	3	0.000000
3	4	0.000000
4	0	0.999999
4	1	0.000001
4	2	0.000000
4	3	0.000000
4	4	0.000000
5	0	0.999999
5	1	0.000001
5	2	0.000000
5	3	0.000000
5	4	0.000000
6	0	0.553648
6	1	0.000001
6	2	0.000000
6	3	0.000000
6	4	0.446350
7	0	0.999997
7	1	0.000003
7	2	0.000000
7	3	0.000000
7	4	0.000000
8	0	1.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
9	0	0.553649
9	1	0.000001
9	2	0.000000
9	3	0.000000
9	4	0.446350
10	0	0.999999
10	1	0.000001
10	2	0.000000
10	3	0.000000
10	4	0.000000
11	0	0.000059
11	1	0.000000
11	2	0.000000
11	3	0.999941
11	4	0.000000
12	0	0.456804
12	1	0.000000
12	2	0.000000
12	3	0.543196
12	4	0.000000
13	0	0.553650
13	1	0.000001
13	2	0.000000
13	3	0.000000
13	4	0.446350
14	0	0.456800
14	1	0.000001
14	2	0.000020
14	3	0.543180
14	4	0.000000
15	0	0.013124
15	1	0.986876
15	2	0.000000
15	3	0.000000
15	4	0.000000
16	0	0.149401
16	1	0.000000
16	2	0.850599
16	3	0.000000
16	4	0.000000
17	0	0.149417
17	1	0.000000
17	2	0.850583
17	3	0.000000
17	4	0.000000
18	0	0.000000
18	1	0.625194
18	2	0.000000
18	3	0.000000
18	4	0.374806
19	0	0.000000
19	1	0.000000
19	2	1.000000
19	3	0.000000
19	4	0.000000
20	0	0.553650
20	1	0.000000
20	2	0.000000
20	3	0.000000
20	4	0.446350
21	0	0.000003
21	1	0.599626
21	2	0.000000
21	3	0.000000
21	4	0.400371
22	0	0.000000
22	1	0.392057
22	2	0.000000
22	3	0.000000
22	4	0.607943
23	0	0.350565
23	1	0.000000
23	2	0.000000
23	3	0.000000
23	4	0.649435
24	0	0.000000
24	1	0.000000
24	2	0.000000
24	3	0.000000
24	4	1.000000
25	0	0.350559
25	1	0.000002
25	2	0.000000
25	3	0.000000
25	4	0.649439
26	0	0.553650
26	1	0.000000
26	2	0.000000
26	3	0.000000
26	4	0.446349
27	0	0.063702
27	1	0.000000
27	2	0.000000
27	3	0.486035
27	4	0.450263
28	0	0.000000
28	1	0.000000
28	2	0.000000
28	3	0.000000
28	4	1.000000
29	0	0.553648
29	1	0.000001
29	2	0.000000
29	3	0.000000
29	4	0.446350

