k	l	m	KLM
0	0	0	0.973918
0	0	1	0.026082
0	1	0	1.000000
0	1	1	0.000000
0	2	0	1.000000
0	2	1	0.000000
0	3	0	0.000000
0	3	1	1.000000
0	4	0	0.000000
0	4	1	1.000000
0	5	0	0.000000
0	5	1	1.000000
1	0	0	1.000000
1	0	1	0.000000
1	1	0	1.000000
1	1	1	0.000000
1	2	0	1.000000
1	2	1	0.000000
1	3	0	0.309332
1	3	1	0.690668
1	4	0	0.000000
1	4	1	1.000000
1	5	0	0.202884
1	5	1	0.797116
2	0	0	1.000000
2	0	1	0.000000
2	1	0	1.000000
2	1	1	0.000000
2	2	0	0.750019
2	2	1	0.249981
2	3	0	0.000000
2	3	1	1.000000
2	4	0	0.249981
2	4	1	0.750019
2	5	0	0.000000
2	5	1	1.000000
3	0	0	1.000000
3	0	1	0.000000
3	1	0	0.491742
3	1	1	0.508258
3	2	0	1.000000
3	2	1	0.000000
3	3	0	0.000000
3	3	1	1.000000
3	4	0	0.000000
3	4	1	1.000000
3	5	0	0.000000
3	5	1	1.000000

