i	k	etaik
0	0	0.000000
0	1	0.390565
0	2	0.000000
0	3	0.609435
1	0	0.000000
1	1	0.461109
1	2	0.000000
1	3	0.538891
2	0	0.000000
2	1	0.718292
2	2	0.000000
2	3	0.281708
3	0	0.000000
3	1	0.614840
3	2	0.000000
3	3	0.385160
4	0	0.509734
4	1	0.000001
4	2	0.490264
4	3	0.000001
5	0	0.000000
5	1	0.718384
5	2	0.000000
5	3	0.281616
6	0	0.000000
6	1	0.562172
6	2	0.000001
6	3	0.437827
7	0	0.000000
7	1	0.460582
7	2	0.000000
7	3	0.539418
8	0	0.000000
8	1	0.433915
8	2	0.000000
8	3	0.566085
9	0	0.000000
9	1	0.561526
9	2	0.000000
9	3	0.438474
10	0	0.000000
10	1	0.560107
10	2	0.000000
10	3	0.439893
11	0	0.000000
11	1	0.505572
11	2	0.000000
11	3	0.494428
12	0	0.000000
12	1	0.655786
12	2	0.000000
12	3	0.344214
13	0	0.509734
13	1	0.000001
13	2	0.490264
13	3	0.000001
14	0	0.509734
14	1	0.000001
14	2	0.490265
14	3	0.000001
15	0	0.000000
15	1	0.337682
15	2	0.000000
15	3	0.662318
16	0	0.000000
16	1	0.561341
16	2	0.000000
16	3	0.438659
17	0	0.509734
17	1	0.000001
17	2	0.490265
17	3	0.000001
18	0	1.000000
18	1	0.000000
18	2	0.000000
18	3	0.000000
19	0	0.509734
19	1	0.000001
19	2	0.490265
19	3	0.000001
20	0	0.000000
20	1	0.760920
20	2	0.000000
20	3	0.239080
21	0	0.000000
21	1	0.002122
21	2	0.997176
21	3	0.000702
22	0	0.000000
22	1	0.389063
22	2	0.000000
22	3	0.610937
23	0	0.000000
23	1	0.000284
23	2	0.999388
23	3	0.000328
24	0	0.000000
24	1	0.560632
24	2	0.000000
24	3	0.439368
25	0	0.000000
25	1	0.000405
25	2	0.999506
25	3	0.000089
26	0	0.000000
26	1	0.560073
26	2	0.000000
26	3	0.439927
27	0	0.000000
27	1	0.561032
27	2	0.000000
27	3	0.438968
28	0	0.000000
28	1	0.816724
28	2	0.000000
28	3	0.183276
29	0	0.000000
29	1	0.690975
29	2	0.000000
29	3	0.309025

