k	l	m	KLM
0	0	0	0.954451
0	0	1	0.045549
0	1	0	1.000000
0	1	1	0.000000
0	2	0	0.930819
0	2	1	0.069181
0	3	0	0.592352
0	3	1	0.407648
0	4	0	0.407648
0	4	1	0.592352
0	5	0	0.954045
0	5	1	0.045955
0	6	0	0.775271
0	6	1	0.224729
0	7	0	1.000000
0	7	1	0.000000
0	8	0	1.000000
0	8	1	0.000000
0	9	0	0.000000
0	9	1	1.000000
0	10	0	1.000000
0	10	1	0.000000
0	11	0	0.036843
0	11	1	0.963157
0	12	0	0.224726
0	12	1	0.775274
1	0	0	1.000000
1	0	1	0.000000
1	1	0	0.000000
1	1	1	1.000000
1	2	0	1.000000
1	2	1	0.000000
1	3	0	0.000000
1	3	1	1.000000
1	4	0	1.000000
1	4	1	0.000000
1	5	0	1.000000
1	5	1	0.000000
1	6	0	0.999882
1	6	1	0.000118
1	7	0	0.000000
1	7	1	1.000000
1	8	0	0.000000
1	8	1	1.000000
1	9	0	1.000000
1	9	1	0.000000
1	10	0	0.000000
1	10	1	1.000000
1	11	0	0.085342
1	11	1	0.914658
1	12	0	0.000128
1	12	1	0.999872

