i	k	etaik
0	0	0.516016
0	1	0.000000
0	2	0.000000
0	3	0.483984
1	0	0.700979
1	1	0.299021
1	2	0.000000
1	3	0.000000
2	0	1.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	0.700979
3	1	0.299021
3	2	0.000000
3	3	0.000000
4	0	0.645408
4	1	0.354592
4	2	0.000000
4	3	0.000000
5	0	0.546188
5	1	0.453812
5	2	0.000000
5	3	0.000000
6	0	0.645408
6	1	0.354592
6	2	0.000000
6	3	0.000000
7	0	0.546188
7	1	0.453812
7	2	0.000000
7	3	0.000000
8	0	1.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
9	0	1.000000
9	1	0.000000
9	2	0.000000
9	3	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.704058
10	3	0.295942
11	0	0.000000
11	1	0.000000
11	2	0.704056
11	3	0.295944
12	0	0.000000
12	1	0.000000
12	2	0.745263
12	3	0.254737
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	1.000000
14	0	0.000000
14	1	0.000000
14	2	0.704115
14	3	0.295885
15	0	1.000000
15	1	0.000000
15	2	0.000000
15	3	0.000000
16	0	0.000000
16	1	0.000000
16	2	0.000000
16	3	1.000000
17	0	0.000000
17	1	0.000000
17	2	0.000000
17	3	1.000000
18	0	0.000000
18	1	0.000000
18	2	0.000000
18	3	1.000000
19	0	0.000000
19	1	0.000000
19	2	0.704316
19	3	0.295684
20	0	0.400320
20	1	0.599680
20	2	0.000000
20	3	0.000000
21	0	0.000000
21	1	1.000000
21	2	0.000000
21	3	0.000000
22	0	1.000000
22	1	0.000000
22	2	0.000000
22	3	0.000000
23	0	0.000000
23	1	0.000000
23	2	0.704082
23	3	0.295918
24	0	0.400320
24	1	0.599680
24	2	0.000000
24	3	0.000000
25	0	0.999980
25	1	0.000020
25	2	0.000000
25	3	0.000000
26	0	0.000000
26	1	0.510062
26	2	0.000009
26	3	0.489930
27	0	0.400320
27	1	0.599680
27	2	0.000000
27	3	0.000000
28	0	1.000000
28	1	0.000000
28	2	0.000000
28	3	0.000000
29	0	0.419584
29	1	0.580416
29	2	0.000000
29	3	0.000000

