k	l	m	KLM
0	0	0	1.000000
0	0	1	0.000000
0	1	0	0.000000
0	1	1	1.000000
0	2	0	1.000000
0	2	1	0.000000
0	3	0	1.000000
0	3	1	0.000000
0	3	2	0.000000
0	4	0	0.000000
0	4	1	1.000000
0	5	0	0.000000
0	5	1	1.000000
0	6	0	1.000000
0	6	1	0.000000
0	7	0	1.000000
0	7	1	0.000000
0	8	0	1.000000
0	8	1	0.000000
0	9	0	0.000000
0	9	1	1.000000
0	10	0	0.000000
0	10	1	1.000000
0	11	0	0.000000
0	11	1	1.000000
0	12	0	0.000000
0	12	1	1.000000
0	13	0	0.000000
0	13	1	1.000000
0	14	0	1.000000
0	14	1	0.000000
0	15	0	1.000000
0	15	1	0.000000
0	16	0	1.000000
0	16	1	0.000000
0	17	0	1.000000
0	17	1	0.000000
0	18	0	0.999901
0	18	1	0.000099
0	19	0	0.000000
0	19	1	1.000000
0	20	0	0.000000
0	20	1	1.000000
1	0	0	0.081879
1	0	1	0.918121
1	1	0	0.918121
1	1	1	0.081879
1	2	0	0.000457
1	2	1	0.999543
1	3	0	0.007630
1	3	1	0.000000
1	3	2	0.992370
1	4	0	0.000000
1	4	1	1.000000
1	5	0	0.000000
1	5	1	1.000000
1	6	0	0.000004
1	6	1	0.999996
1	7	0	0.749428
1	7	1	0.250572
1	8	0	1.000000
1	8	1	0.000000
1	9	0	0.000000
1	9	1	1.000000
1	10	0	0.000000
1	10	1	1.000000
1	11	0	0.999988
1	11	1	0.000012
1	12	0	0.124010
1	12	1	0.875990
1	13	0	0.999543
1	13	1	0.000457
1	14	0	1.000000
1	14	1	0.000000
1	15	0	1.000000
1	15	1	0.000000
1	16	0	1.000000
1	16	1	0.000000
1	17	0	0.000007
1	17	1	0.999993
1	18	0	0.561545
1	18	1	0.438455
1	19	0	0.999991
1	19	1	0.000009
1	20	0	0.000000
1	20	1	1.000000
2	0	0	1.000000
2	0	1	0.000000
2	1	0	0.000000
2	1	1	1.000000
2	2	0	1.000000
2	2	1	0.000000
2	3	0	0.000000
2	3	1	1.000000
2	3	2	0.000000
2	4	0	1.000000
2	4	1	0.000000
2	5	0	0.000000
2	5	1	1.000000
2	6	0	0.000000
2	6	1	1.000000
2	7	0	1.000000
2	7	1	0.000000
2	8	0	0.000000
2	8	1	1.000000
2	9	0	0.143045
2	9	1	0.856955
2	10	0	1.000000
2	10	1	0.000000
2	11	0	1.000000
2	11	1	0.000000
2	12	0	0.000000
2	12	1	1.000000
2	13	0	0.000000
2	13	1	1.000000
2	14	0	0.856955
2	14	1	0.143045
2	15	0	0.000000
2	15	1	1.000000
2	16	0	0.857759
2	16	1	0.142241
2	17	0	0.000000
2	17	1	1.000000
2	18	0	1.000000
2	18	1	0.000000
2	19	0	1.000000
2	19	1	0.000000
2	20	0	0.946727
2	20	1	0.053273
3	0	0	1.000000
3	0	1	0.000000
3	1	0	0.000000
3	1	1	1.000000
3	2	0	1.000000
3	2	1	0.000000
3	3	0	0.000000
3	3	1	0.000000
3	3	2	1.000000
3	4	0	0.000000
3	4	1	1.000000
3	5	0	0.311657
3	5	1	0.688343
3	6	0	0.000000
3	6	1	1.000000
3	7	0	1.000000
3	7	1	0.000000
3	8	0	1.000000
3	8	1	0.000000
3	9	0	0.000000
3	9	1	1.000000
3	10	0	0.000000
3	10	1	1.000000
3	11	0	1.000000
3	11	1	0.000000
3	12	0	0.000000
3	12	1	1.000000
3	13	0	0.000000
3	13	1	1.000000
3	14	0	1.000000
3	14	1	0.000000
3	15	0	1.000000
3	15	1	0.000000
3	16	0	1.000000
3	16	1	0.000000
3	17	0	0.000000
3	17	1	1.000000
3	18	0	1.000000
3	18	1	0.000000
3	19	0	1.000000
3	19	1	0.000000
3	20	0	0.000000
3	20	1	1.000000

