i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.000000
0	4	0.866655
0	5	0.133345
1	0	0.000000
1	1	0.000000
1	2	0.000000
1	3	0.000000
1	4	0.572215
1	5	0.427785
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.499997
2	4	0.325729
2	5	0.174274
3	0	0.000000
3	1	0.000000
3	2	0.000000
3	3	0.000000
3	4	0.805139
3	5	0.194861
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	0.570449
4	5	0.429551
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.995327
5	5	0.004673
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	1.000000
6	4	0.000000
6	5	0.000000
7	0	0.000000
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	0.573936
7	5	0.426064
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.635845
8	5	0.364155
9	0	0.000000
9	1	0.000000
9	2	0.000000
9	3	0.000000
9	4	0.580434
9	5	0.419566
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.872523
10	5	0.127477
11	0	0.000000
11	1	0.000000
11	2	0.000000
11	3	0.000000
11	4	0.621092
11	5	0.378908
12	0	0.000000
12	1	0.000000
12	2	0.000000
12	3	0.000000
12	4	1.000000
12	5	0.000000
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	0.000000
13	4	0.584676
13	5	0.415324
14	0	0.000000
14	1	0.000000
14	2	0.000000
14	3	0.000000
14	4	0.919706
14	5	0.080294
15	0	0.000000
15	1	0.000000
15	2	0.000000
15	3	0.000000
15	4	0.842346
15	5	0.157654
16	0	0.000000
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	1.000000
16	5	0.000000
17	0	0.000000
17	1	0.000000
17	2	0.000000
17	3	0.000000
17	4	0.690019
17	5	0.309981
18	0	0.000000
18	1	0.000000
18	2	0.000000
18	3	0.000000
18	4	1.000000
18	5	0.000000
19	0	0.000000
19	1	0.000000
19	2	0.000000
19	3	0.000000
19	4	0.589669
19	5	0.410331
20	0	0.000000
20	1	1.000000
20	2	0.000000
20	3	0.000000
20	4	0.000000
20	5	0.000000
21	0	0.000000
21	1	0.000000
21	2	0.000000
21	3	0.000000
21	4	0.938073
21	5	0.061927
22	0	0.000000
22	1	0.000000
22	2	0.000000
22	3	0.000000
22	4	0.802714
22	5	0.197286
23	0	0.000000
23	1	0.000000
23	2	0.000000
23	3	0.000000
23	4	0.872380
23	5	0.127620
24	0	0.499942
24	1	0.000000
24	2	0.000000
24	3	0.000000
24	4	0.424304
24	5	0.075754
25	0	0.000000
25	1	0.000000
25	2	0.000000
25	3	0.000000
25	4	1.000000
25	5	0.000000
26	0	1.000000
26	1	0.000000
26	2	0.000000
26	3	0.000000
26	4	0.000000
26	5	0.000000
27	0	0.499706
27	1	0.000000
27	2	0.000000
27	3	0.000000
27	4	0.500294
27	5	0.000000
28	0	0.000000
28	1	1.000000
28	2	0.000000
28	3	0.000000
28	4	0.000000
28	5	0.000000
29	0	0.000000
29	1	0.499840
29	2	0.000000
29	3	0.000000
29	4	0.000000
29	5	0.500160
30	0	0.000000
30	1	0.499569
30	2	0.000000
30	3	0.000000
30	4	0.007192
30	5	0.493238
31	0	0.000000
31	1	0.000000
31	2	0.000000
31	3	0.000000
31	4	0.000000
31	5	1.000000
32	0	0.000000
32	1	0.499384
32	2	0.000000
32	3	0.000000
32	4	0.009943
32	5	0.490673
33	0	0.000000
33	1	0.499907
33	2	0.000000
33	3	0.000000
33	4	0.228763
33	5	0.271330
34	0	0.000000
34	1	0.000000
34	2	0.000000
34	3	0.000000
34	4	0.896045
34	5	0.103955
35	0	0.000000
35	1	0.499914
35	2	0.000000
35	3	0.000000
35	4	0.203964
35	5	0.296122
36	0	0.000000
36	1	0.000000
36	2	0.000000
36	3	0.000000
36	4	1.000000
36	5	0.000000
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
37	4	0.690582
37	5	0.309418
38	0	0.000000
38	1	0.499895
38	2	0.000000
38	3	0.000000
38	4	0.133774
38	5	0.366331
39	0	0.000000
39	1	0.499905
39	2	0.000000
39	3	0.000000
39	4	0.176889
39	5	0.323206
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
40	4	1.000000
40	5	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
41	4	0.792880
41	5	0.207120
42	0	0.000000
42	1	0.000000
42	2	0.499970
42	3	0.000000
42	4	0.500030
42	5	0.000000
43	0	0.000000
43	1	0.000000
43	2	1.000000
43	3	0.000000
43	4	0.000000
43	5	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.399985
44	3	0.000003
44	4	0.000000
44	5	0.600012
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
45	4	0.692041
45	5	0.307959
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
46	4	0.000000
46	5	1.000000
47	0	0.000000
47	1	0.000000
47	2	0.499958
47	3	0.000000
47	4	0.500042
47	5	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.399951
48	3	0.000000
48	4	0.600049
48	5	0.000000
49	0	0.000000
49	1	0.000000
49	2	1.000000
49	3	0.000000
49	4	0.000000
49	5	0.000000

