k	l	m	KLM
0	0	0	1.000000
0	0	1	0.000000
0	1	0	0.000000
0	1	1	1.000000
0	2	0	1.000000
0	2	1	0.000000
0	3	0	0.000000
0	3	1	1.000000
0	4	0	0.022664
0	4	1	0.977336
0	5	0	1.000000
0	5	1	0.000000
0	6	0	0.977457
0	6	1	0.022543
0	7	0	0.088346
0	7	1	0.911654
0	8	0	0.537663
0	8	1	0.462337
0	9	0	0.137147
0	9	1	0.862853
0	10	0	0.022543
0	10	1	0.977457
1	0	0	0.856777
1	0	1	0.143223
1	1	0	1.000000
1	1	1	0.000000
1	2	0	0.856777
1	2	1	0.143223
1	3	0	0.053895
1	3	1	0.946105
1	4	0	0.000000
1	4	1	1.000000
1	5	0	0.964154
1	5	1	0.035846
1	6	0	1.000000
1	6	1	0.000000
1	7	0	0.000002
1	7	1	0.999998
1	8	0	0.000000
1	8	1	1.000000
1	9	0	0.000000
1	9	1	1.000000
1	10	0	0.000000
1	10	1	1.000000

