i	k	etaik
0	0	0.584855
0	1	0.000000
0	2	0.415145
1	0	0.510037
1	1	0.000000
1	2	0.489963
2	0	1.000000
2	1	0.000000
2	2	0.000000
3	0	1.000000
3	1	0.000000
3	2	0.000000
4	0	1.000000
4	1	0.000000
4	2	0.000000
5	0	1.000000
5	1	0.000000
5	2	0.000000
6	0	1.000000
6	1	0.000000
6	2	0.000000
7	0	1.000000
7	1	0.000000
7	2	0.000000
8	0	1.000000
8	1	0.000000
8	2	0.000000
9	0	0.510037
9	1	0.000000
9	2	0.489963
10	0	0.504670
10	1	0.495330
10	2	0.000000
11	0	0.504670
11	1	0.495330
11	2	0.000000
12	0	0.743488
12	1	0.000000
12	2	0.256512
13	0	0.000005
13	1	0.420415
13	2	0.579580
14	0	0.000000
14	1	1.000000
14	2	0.000000
15	0	0.000000
15	1	1.000000
15	2	0.000000
16	0	0.366748
16	1	0.000000
16	2	0.633252
17	0	0.000000
17	1	1.000000
17	2	0.000000
18	0	0.076457
18	1	0.923543
18	2	0.000000
19	0	0.000046
19	1	0.528409
19	2	0.471545
20	0	0.673040
20	1	0.000000
20	2	0.326960
21	0	1.000000
21	1	0.000000
21	2	0.000000
22	0	1.000000
22	1	0.000000
22	2	0.000000
23	0	0.672911
23	1	0.000000
23	2	0.327089
24	0	0.838800
24	1	0.000000
24	2	0.161200
25	0	0.499535
25	1	0.000000
25	2	0.500465
26	0	1.000000
26	1	0.000000
26	2	0.000000
27	0	1.000000
27	1	0.000000
27	2	0.000000
28	0	0.332520
28	1	0.000000
28	2	0.667480
29	0	0.332520
29	1	0.000000
29	2	0.667480
30	0	0.510037
30	1	0.000000
30	2	0.489963
31	0	0.510037
31	1	0.000000
31	2	0.489963
32	0	0.000000
32	1	0.000000
32	2	1.000000
33	0	0.838800
33	1	0.000000
33	2	0.161200
34	0	1.000000
34	1	0.000000
34	2	0.000000
35	0	0.000000
35	1	0.000000
35	2	1.000000
36	0	1.000000
36	1	0.000000
36	2	0.000000
37	0	1.000000
37	1	0.000000
37	2	0.000000
38	0	1.000000
38	1	0.000000
38	2	0.000000
39	0	1.000000
39	1	0.000000
39	2	0.000000
40	0	0.425002
40	1	0.000000
40	2	0.574998
41	0	0.425002
41	1	0.000000
41	2	0.574998
42	0	0.857390
42	1	0.000000
42	2	0.142610
43	0	0.601977
43	1	0.398023
43	2	0.000000
44	0	0.510037
44	1	0.000000
44	2	0.489963
45	0	1.000000
45	1	0.000000
45	2	0.000000
46	0	1.000000
46	1	0.000000
46	2	0.000000
47	0	0.000000
47	1	0.000000
47	2	1.000000
48	0	1.000000
48	1	0.000000
48	2	0.000000
49	0	0.510037
49	1	0.000000
49	2	0.489963

