i	k	etaik
0	0	0.000000
0	1	1.000000
1	0	0.000000
1	1	1.000000
2	0	0.506015
2	1	0.493985
3	0	0.427902
3	1	0.572098
4	0	0.000000
4	1	1.000000
5	0	0.506015
5	1	0.493985
6	0	0.506015
6	1	0.493985
7	0	0.000000
7	1	1.000000
8	0	0.499365
8	1	0.500635
9	0	0.506015
9	1	0.493985
10	0	0.000000
10	1	1.000000
11	0	0.000000
11	1	1.000000
12	0	0.000000
12	1	1.000000
13	0	0.000000
13	1	1.000000
14	0	0.000000
14	1	1.000000
15	0	0.000000
15	1	1.000000
16	0	0.000000
16	1	1.000000
17	0	0.000000
17	1	1.000000
18	0	0.000000
18	1	1.000000
19	0	0.000000
19	1	1.000000
20	0	0.000022
20	1	0.999978
21	0	0.000000
21	1	1.000000
22	0	1.000000
22	1	0.000000
23	0	0.000089
23	1	0.999911
24	0	0.506015
24	1	0.493985
25	0	0.499365
25	1	0.500635
26	0	0.000000
26	1	1.000000
27	0	0.000000
27	1	1.000000
28	0	1.000000
28	1	0.000000
29	0	0.427902
29	1	0.572098
30	0	0.691846
30	1	0.308154
31	0	0.000000
31	1	1.000000
32	0	0.000282
32	1	0.999718
33	0	0.691846
33	1	0.308154
34	0	0.000000
34	1	1.000000
35	0	0.000000
35	1	1.000000
36	0	0.691846
36	1	0.308154
37	0	0.000000
37	1	1.000000
38	0	0.422259
38	1	0.577741
39	0	0.000000
39	1	1.000000
40	0	0.513540
40	1	0.486460
41	0	0.000000
41	1	1.000000
42	0	0.000000
42	1	1.000000
43	0	0.000000
43	1	1.000000
44	0	0.000000
44	1	1.000000
45	0	0.000000
45	1	1.000000
46	0	1.000000
46	1	0.000000
47	0	1.000000
47	1	0.000000
48	0	0.499365
48	1	0.500635
49	0	1.000000
49	1	0.000000

