i	k	etaik
0	0	0.000000
0	1	1.000000
1	0	0.000006
1	1	0.999994
2	0	0.000000
2	1	1.000000
3	0	0.500507
3	1	0.499493
4	0	0.561207
4	1	0.438793
5	0	1.000000
5	1	0.000000
6	0	1.000000
6	1	0.000000
7	0	1.000000
7	1	0.000000
8	0	0.561210
8	1	0.438790
9	0	0.565850
9	1	0.434150
10	0	1.000000
10	1	0.000000
11	0	1.000000
11	1	0.000000
12	0	1.000000
12	1	0.000000
13	0	1.000000
13	1	0.000000
14	0	1.000000
14	1	0.000000
15	0	1.000000
15	1	0.000000
16	0	1.000000
16	1	0.000000
17	0	0.999991
17	1	0.000009
18	0	0.999996
18	1	0.000004
19	0	1.000000
19	1	0.000000
20	0	0.501529
20	1	0.498471
21	0	1.000000
21	1	0.000000
22	0	1.000000
22	1	0.000000
23	0	1.000000
23	1	0.000000
24	0	1.000000
24	1	0.000000
25	0	1.000000
25	1	0.000000
26	0	1.000000
26	1	0.000000
27	0	1.000000
27	1	0.000000
28	0	1.000000
28	1	0.000000
29	0	1.000000
29	1	0.000000
30	0	0.468757
30	1	0.531243
31	0	1.000000
31	1	0.000000
32	0	0.453085
32	1	0.546915
33	0	0.453085
33	1	0.546915
34	0	0.000002
34	1	0.999998
35	0	1.000000
35	1	0.000000
36	0	0.468756
36	1	0.531244
37	0	1.000000
37	1	0.000000
38	0	0.453085
38	1	0.546915
39	0	1.000000
39	1	0.000000
40	0	1.000000
40	1	0.000000
41	0	0.504802
41	1	0.495198
42	0	0.516775
42	1	0.483225
43	0	1.000000
43	1	0.000000
44	0	1.000000
44	1	0.000000
45	0	1.000000
45	1	0.000000
46	0	0.504803
46	1	0.495197
47	0	0.494158
47	1	0.505842
48	0	0.504802
48	1	0.495198
49	0	0.494163
49	1	0.505837

