k	l	m	KLM
0	0	0	0.951670
0	0	1	0.048330
0	1	0	0.377524
0	1	1	0.622476
0	2	0	1.000000
0	2	1	0.000000
0	3	0	0.024215
0	3	1	0.975785
0	4	0	0.567073
0	4	1	0.432927
0	5	0	0.000000
0	5	1	1.000000
0	6	0	0.975640
0	6	1	0.024360
0	7	0	0.622476
0	7	1	0.377524
0	8	0	0.024426
0	8	1	0.975574
0	9	0	0.000000
0	9	1	1.000000
1	0	0	1.000000
1	0	1	0.000000
1	1	0	1.000000
1	1	1	0.000000
1	2	0	0.931412
1	2	1	0.068588
1	3	0	0.000000
1	3	1	1.000000
1	4	0	1.000000
1	4	1	0.000000
1	5	0	0.051548
1	5	1	0.948452
1	6	0	1.000000
1	6	1	0.000000
1	7	0	0.000000
1	7	1	1.000000
1	8	0	0.000000
1	8	1	1.000000
1	9	0	1.000000
1	9	1	0.000000

