k	l	m	KLM
0	0	0	1.000000
0	0	1	0.000000
0	1	0	1.000000
0	1	1	0.000000
0	2	0	1.000000
0	2	1	0.000000
0	3	0	0.000000
0	3	1	1.000000
0	4	0	0.000000
0	4	1	1.000000
0	5	0	0.569965
0	5	1	0.430035
0	6	0	1.000000
0	6	1	0.000000
0	7	0	0.000000
0	7	1	1.000000
0	8	0	0.000000
0	8	1	1.000000
0	9	0	0.430035
0	9	1	0.569965
0	10	0	1.000000
0	10	1	0.000000
0	11	0	0.000000
0	11	1	1.000000
0	12	0	0.000000
0	12	1	1.000000
0	13	0	0.000000
0	13	1	1.000000
0	14	0	0.578947
0	14	1	0.000000
0	14	2	0.421053
0	15	0	0.017555
0	15	1	0.982445
0	16	0	1.000000
0	16	1	0.000000
0	17	0	0.430035
0	17	1	0.569965
0	18	0	0.430035
0	18	1	0.569965
0	19	0	0.427225
0	19	1	0.572775
0	20	0	1.000000
0	20	1	0.000000
0	21	0	0.427225
0	21	1	0.572775
0	22	0	1.000000
0	22	1	0.000000
0	23	0	0.572775
0	23	1	0.427225
0	24	0	0.430035
0	24	1	0.569965
0	25	0	0.000000
0	25	1	1.000000
0	26	0	0.427225
0	26	1	0.572775
0	27	0	0.043919
0	27	1	0.956081
0	28	0	0.569965
0	28	1	0.430035
0	29	0	1.000000
0	29	1	0.000000
0	30	0	0.000000
0	30	1	0.421053
0	30	2	0.578947
0	31	0	1.000000
0	31	1	0.000000
0	32	0	0.569965
0	32	1	0.430035
0	33	0	0.000000
0	33	1	1.000000
0	34	0	1.000000
0	34	1	0.000000
0	35	0	0.572775
0	35	1	0.427225
0	36	0	1.000000
0	36	1	0.000000
0	37	0	0.000000
0	37	1	1.000000
0	38	0	0.000000
0	38	1	1.000000
0	39	0	0.026339
0	39	1	0.973661
0	40	0	0.000000
0	40	1	1.000000
0	41	0	0.000000
0	41	1	1.000000
0	42	0	1.000000
0	42	1	0.000000
0	43	0	0.427225
0	43	1	0.572775
0	44	0	1.000000
0	44	1	0.000000
0	45	0	1.000000
0	45	1	0.000000
0	46	0	1.000000
0	46	1	0.000000
0	47	0	0.430035
0	47	1	0.569965
0	48	0	0.000000
0	48	1	1.000000
0	49	0	0.008775
0	49	1	0.991225
0	50	0	1.000000
0	50	1	0.000000
0	51	0	0.109875
0	51	1	0.890125
0	52	0	0.572775
0	52	1	0.427225
0	53	0	1.000000
0	53	1	0.000000
0	54	0	0.982445
0	54	1	0.017555
0	55	0	0.000000
0	55	1	1.000000
0	56	0	1.000000
0	56	1	0.000000
0	57	0	0.000000
0	57	1	1.000000
0	58	0	0.000000
0	58	1	1.000000
0	59	0	1.000000
0	59	1	0.000000
0	60	0	0.569965
0	60	1	0.430035
0	61	0	0.000000
0	61	1	1.000000
0	62	0	1.000000
0	62	1	0.000000
0	63	0	0.427225
0	63	1	0.572775
0	64	0	1.000000
0	64	1	0.000000
0	65	0	1.000000
0	65	1	0.000000
0	66	0	0.427225
0	66	1	0.572775
0	67	0	0.572775
0	67	1	0.427225
0	68	0	0.427225
0	68	1	0.572775
0	69	0	0.569965
0	69	1	0.430035
0	70	0	1.000000
0	70	1	0.000000
0	71	0	0.000000
0	71	1	0.578947
0	71	2	0.421053
0	72	0	0.000000
0	72	1	1.000000
0	73	0	1.000000
0	73	1	0.000000
0	74	0	1.000000
0	74	1	0.000000
0	75	0	1.000000
0	75	1	0.000000
0	76	0	1.000000
0	76	1	0.000000
0	77	0	0.572775
0	77	1	0.427225
0	78	0	0.000000
0	78	1	1.000000
0	79	0	0.000000
0	79	1	1.000000
0	80	0	1.000000
0	80	1	0.000000
0	81	0	0.572775
0	81	1	0.427225
0	82	0	0.000000
0	82	1	1.000000
0	83	0	1.000000
0	83	1	0.000000
0	84	0	0.569965
0	84	1	0.430035
0	85	0	1.000000
0	85	1	0.000000
0	86	0	1.000000
0	86	1	0.000000
0	87	0	1.000000
0	87	1	0.000000
0	88	0	0.000000
0	88	1	1.000000
0	89	0	0.427225
0	89	1	0.572775
0	90	0	0.008775
0	90	1	0.991225
0	91	0	0.000000
0	91	1	1.000000
0	92	0	1.000000
0	92	1	0.000000
0	93	0	0.427225
0	93	1	0.572775
0	94	0	1.000000
0	94	1	0.000000
0	95	0	0.430035
0	95	1	0.569965
0	96	0	0.000000
0	96	1	1.000000
0	97	0	0.000000
0	97	1	1.000000
0	98	0	1.000000
0	98	1	0.000000
0	99	0	0.000000
0	99	1	1.000000
0	100	0	0.421053
0	100	1	0.578947
0	100	2	0.000000
0	101	0	0.000000
0	101	1	1.000000
0	102	0	0.779225
0	102	1	0.220775
0	103	0	1.000000
0	103	1	0.000000
0	104	0	1.000000
0	104	1	0.000000
0	105	0	0.000000
0	105	1	1.000000
0	106	0	0.000000
0	106	1	1.000000
0	107	0	0.000000
0	107	1	1.000000
1	0	0	0.000000
1	0	1	1.000000
1	1	0	0.000000
1	1	1	1.000000
1	2	0	0.777168
1	2	1	0.222832
1	3	0	0.081620
1	3	1	0.918380
1	4	0	1.000000
1	4	1	0.000000
1	5	0	0.000000
1	5	1	1.000000
1	6	0	0.953421
1	6	1	0.046579
1	7	0	1.000000
1	7	1	0.000000
1	8	0	1.000000
1	8	1	0.000000
1	9	0	1.000000
1	9	1	0.000000
1	10	0	0.777168
1	10	1	0.222832
1	11	0	0.222832
1	11	1	0.777168
1	12	0	1.000000
1	12	1	0.000000
1	13	0	1.000000
1	13	1	0.000000
1	14	0	0.000000
1	14	1	0.430233
1	14	2	0.569767
1	15	0	0.000000
1	15	1	1.000000
1	16	0	0.000000
1	16	1	1.000000
1	17	0	1.000000
1	17	1	0.000000
1	18	0	1.000000
1	18	1	0.000000
1	19	0	0.000000
1	19	1	1.000000
1	20	0	0.000000
1	20	1	1.000000
1	21	0	0.000000
1	21	1	1.000000
1	22	0	0.953421
1	22	1	0.046579
1	23	0	1.000000
1	23	1	0.000000
1	24	0	1.000000
1	24	1	0.000000
1	25	0	0.023270
1	25	1	0.976730
1	26	0	0.000000
1	26	1	1.000000
1	27	0	0.000000
1	27	1	1.000000
1	28	0	0.000000
1	28	1	1.000000
1	29	0	0.000000
1	29	1	1.000000
1	30	0	1.000000
1	30	1	0.000000
1	30	2	0.000000
1	31	0	0.777168
1	31	1	0.222832
1	32	0	0.000000
1	32	1	1.000000
1	33	0	1.000000
1	33	1	0.000000
1	34	0	0.000000
1	34	1	1.000000
1	35	0	1.000000
1	35	1	0.000000
1	36	0	0.000000
1	36	1	1.000000
1	37	0	1.000000
1	37	1	0.000000
1	38	0	1.000000
1	38	1	0.000000
1	39	0	0.000000
1	39	1	1.000000
1	40	0	1.000000
1	40	1	0.000000
1	41	0	1.000000
1	41	1	0.000000
1	42	0	0.000000
1	42	1	1.000000
1	43	0	0.000000
1	43	1	1.000000
1	44	0	0.000000
1	44	1	1.000000
1	45	0	0.000000
1	45	1	1.000000
1	46	0	0.777168
1	46	1	0.222832
1	47	0	1.000000
1	47	1	0.000000
1	48	0	1.000000
1	48	1	0.000000
1	49	0	0.000000
1	49	1	1.000000
1	50	0	0.777168
1	50	1	0.222832
1	51	0	1.000000
1	51	1	0.000000
1	52	0	1.000000
1	52	1	0.000000
1	53	0	0.000000
1	53	1	1.000000
1	54	0	1.000000
1	54	1	0.000000
1	55	0	1.000000
1	55	1	0.000000
1	56	0	0.453806
1	56	1	0.546194
1	57	0	0.011630
1	57	1	0.988370
1	58	0	1.000000
