k	l	m	KLM
0	0	0	0.056627
0	0	1	0.943373
0	1	0	0.246490
0	1	1	0.753510
0	2	0	1.000000
0	2	1	0.000000
0	3	0	1.000000
0	3	1	0.000000
0	4	0	0.961389
0	4	1	0.038611
0	5	0	1.000000
0	5	1	0.000000
0	6	0	0.077499
0	6	1	0.922501
0	7	0	1.000000
0	7	1	0.000000
0	8	0	0.000000
0	8	1	1.000000
0	9	0	0.732983
0	9	1	0.267017
0	10	0	1.000000
0	10	1	0.000000
0	11	0	0.000000
0	11	1	1.000000
0	12	0	0.000000
0	12	1	1.000000
0	13	0	0.267017
0	13	1	0.732983
0	14	0	0.753510
0	14	1	0.246490
0	15	0	0.166141
0	15	1	0.833859
0	16	0	1.000000
0	16	1	0.000000
0	17	0	0.000000
0	17	1	1.000000
0	18	0	0.000000
0	18	1	1.000000
0	19	0	0.000000
0	19	1	1.000000
0	20	0	0.732983
0	20	1	0.267017
0	21	0	1.000000
0	21	1	0.000000
0	22	0	0.000000
0	22	1	1.000000
0	23	0	0.077499
0	23	1	0.922501
0	24	0	0.000000
0	24	1	1.000000
0	25	0	1.000000
0	25	1	0.000000
0	26	0	0.753510
0	26	1	0.246490
0	27	0	0.000000
0	27	1	1.000000
0	28	0	0.609770
0	28	1	0.390230
0	29	0	1.000000
0	29	1	0.000000
0	30	0	0.000000
0	30	1	1.000000
0	31	0	0.000000
0	31	1	1.000000
0	32	0	0.267017
0	32	1	0.732983
0	33	0	0.000000
0	33	1	1.000000
0	34	0	0.000000
0	34	1	1.000000
0	35	0	1.000000
0	35	1	0.000000
0	36	0	1.000000
0	36	1	0.000000
0	37	0	0.246490
0	37	1	0.753510
0	38	0	0.000000
0	38	1	1.000000
0	39	0	1.000000
0	39	1	0.000000
0	40	0	1.000000
0	40	1	0.000000
0	41	0	0.000000
0	41	1	1.000000
0	42	0	0.149850
0	42	1	0.850150
0	43	0	1.000000
0	43	1	0.000000
0	44	0	1.000000
0	44	1	0.000000
0	45	0	0.971486
0	45	1	0.028514
0	46	0	0.833859
0	46	1	0.166141
0	47	0	1.000000
0	47	1	0.000000
0	48	0	1.000000
0	48	1	0.000000
0	49	0	0.000000
0	49	1	1.000000
0	50	0	1.000000
0	50	1	0.000000
0	51	0	1.000000
0	51	1	0.000000
0	52	0	0.000000
0	52	1	1.000000
0	53	0	0.990372
0	53	1	0.009628
0	54	0	0.732983
0	54	1	0.267017
1	0	0	0.000000
1	0	1	1.000000
1	1	0	0.000000
1	1	1	1.000000
1	2	0	0.905417
1	2	1	0.094583
1	3	0	0.000000
1	3	1	1.000000
1	4	0	1.000000
1	4	1	0.000000
1	5	0	0.618767
1	5	1	0.381233
1	6	0	0.000000
1	6	1	1.000000
1	7	0	0.613898
1	7	1	0.386102
1	8	0	1.000000
1	8	1	0.000000
1	9	0	0.000000
1	9	1	1.000000
1	10	0	0.396842
1	10	1	0.603158
1	11	0	1.000000
1	11	1	0.000000
1	12	0	1.000000
1	12	1	0.000000
1	13	0	1.000000
1	13	1	0.000000
1	14	0	1.000000
1	14	1	0.000000
1	15	0	0.000000
1	15	1	1.000000
1	16	0	0.396842
1	16	1	0.603158
1	17	0	1.000000
1	17	1	0.000000
1	18	0	1.000000
1	18	1	0.000000
1	19	0	0.102971
1	19	1	0.897029
1	20	0	0.000000
1	20	1	1.000000
1	21	0	0.000000
1	21	1	1.000000
1	22	0	1.000000
1	22	1	0.000000
1	23	0	0.000000
1	23	1	1.000000
1	24	0	1.000000
1	24	1	0.000000
1	25	0	0.917371
1	25	1	0.082629
1	26	0	1.000000
1	26	1	0.000000
1	27	0	0.381233
1	27	1	0.618767
1	28	0	0.000000
1	28	1	1.000000
1	29	0	0.618767
1	29	1	0.381233
1	30	0	1.000000
1	30	1	0.000000
1	31	0	1.000000
1	31	1	0.000000
1	32	0	1.000000
1	32	1	0.000000
1	33	0	1.000000
1	33	1	0.000000
1	34	0	1.000000
1	34	1	0.000000
1	35	0	0.000000
1	35	1	1.000000
1	36	0	0.979136
1	36	1	0.020864
1	37	0	0.000000
1	37	1	1.000000
1	38	0	0.603158
1	38	1	0.396842
1	39	0	0.897029
1	39	1	0.102971
1	40	0	0.618767
1	40	1	0.381233
1	41	0	1.000000
1	41	1	0.000000
1	42	0	0.000000
1	42	1	1.000000
1	43	0	0.769390
1	43	1	0.230610
1	44	0	0.769390
1	44	1	0.230610
1	45	0	1.000000
1	45	1	0.000000
1	46	0	1.000000
1	46	1	0.000000
1	47	0	0.000000
1	47	1	1.000000
1	48	0	0.000000
1	48	1	1.000000
1	49	0	0.010367
1	49	1	0.989633
1	50	0	0.396842
1	50	1	0.603158
1	51	0	0.396842
1	51	1	0.603158
1	52	0	0.381233
1	52	1	0.618767
1	53	0	1.000000
1	53	1	0.000000
1	54	0	0.000000
1	54	1	1.000000

