File,AIC
SS3_replicate0_0.str.admix.K=5.out,441.249107
SS3_replicate0_10.str.admix.K=5.out,476.284328
SS3_replicate0_11.str.admix.K=5.out,385.930959
SS3_replicate0_12.str.admix.K=5.out,469.106881
SS3_replicate0_13.str.admix.K=5.out,323.869780
SS3_replicate0_14.str.admix.K=5.out,529.006503
SS3_replicate0_15.str.admix.K=5.out,718.983005
SS3_replicate0_16.str.admix.K=5.out,484.879751
SS3_replicate0_17.str.admix.K=5.out,353.106517
SS3_replicate0_18.str.admix.K=5.out,572.952057
SS3_replicate0_19.str.admix.K=5.out,406.109304
SS3_replicate0_1.str.admix.K=5.out,499.512891
SS3_replicate0_2.str.admix.K=5.out,272.180712
SS3_replicate0_3.str.admix.K=5.out,317.778831
SS3_replicate0_4.str.admix.K=5.out,400.245323
SS3_replicate0_5.str.admix.K=5.out,412.320989
SS3_replicate0_6.str.admix.K=5.out,501.264074
SS3_replicate0_7.str.admix.K=5.out,454.408458
SS3_replicate0_8.str.admix.K=5.out,457.134072
SS3_replicate0_9.str.admix.K=5.out,584.214195
SS3_replicate1_0.str.admix.K=5.out,505.121039
SS3_replicate1_10.str.admix.K=5.out,299.160888
SS3_replicate1_11.str.admix.K=5.out,397.854600
SS3_replicate1_12.str.admix.K=5.out,562.772536
SS3_replicate1_13.str.admix.K=5.out,334.361434
SS3_replicate1_14.str.admix.K=5.out,451.999660
SS3_replicate1_15.str.admix.K=5.out,460.219419
SS3_replicate1_16.str.admix.K=5.out,633.672031
SS3_replicate1_17.str.admix.K=5.out,350.972352
SS3_replicate1_18.str.admix.K=5.out,386.016425
SS3_replicate1_19.str.admix.K=5.out,252.772591
SS3_replicate1_1.str.admix.K=5.out,579.243333
SS3_replicate1_2.str.admix.K=5.out,302.180951
SS3_replicate1_3.str.admix.K=5.out,318.816465
SS3_replicate1_4.str.admix.K=5.out,351.811236
SS3_replicate1_5.str.admix.K=5.out,818.977306
SS3_replicate1_6.str.admix.K=5.out,460.157436
SS3_replicate1_7.str.admix.K=5.out,349.921376
SS3_replicate1_8.str.admix.K=5.out,381.730885
SS3_replicate1_9.str.admix.K=5.out,397.854600
SS3_replicate2_0.str.admix.K=5.out,472.922787
SS3_replicate2_10.str.admix.K=5.out,424.508825
SS3_replicate2_11.str.admix.K=5.out,723.112717
SS3_replicate2_12.str.admix.K=5.out,295.401153
SS3_replicate2_13.str.admix.K=5.out,369.835311
SS3_replicate2_14.str.admix.K=5.out,400.700158
SS3_replicate2_15.str.admix.K=5.out,589.455217
SS3_replicate2_16.str.admix.K=5.out,377.766007
SS3_replicate2_17.str.admix.K=5.out,439.319149
SS3_replicate2_18.str.admix.K=5.out,638.941146
SS3_replicate2_19.str.admix.K=5.out,450.288769
SS3_replicate2_1.str.admix.K=5.out,388.991555
SS3_replicate2_2.str.admix.K=5.out,743.262554
SS3_replicate2_3.str.admix.K=5.out,407.040696
SS3_replicate2_4.str.admix.K=5.out,358.773278
SS3_replicate2_5.str.admix.K=5.out,648.660798
SS3_replicate2_6.str.admix.K=5.out,493.772888
SS3_replicate2_7.str.admix.K=5.out,457.967009
SS3_replicate2_8.str.admix.K=5.out,610.878785
SS3_replicate2_9.str.admix.K=5.out,356.792918
SS3_replicate3_0.str.admix.K=5.out,444.803438
SS3_replicate3_10.str.admix.K=5.out,494.928492
SS3_replicate3_11.str.admix.K=5.out,389.207943
SS3_replicate3_12.str.admix.K=5.out,312.981698
SS3_replicate3_13.str.admix.K=5.out,376.125321
SS3_replicate3_14.str.admix.K=5.out,462.074192
SS3_replicate3_15.str.admix.K=5.out,436.333527
SS3_replicate3_16.str.admix.K=5.out,420.648678
SS3_replicate3_17.str.admix.K=5.out,514.191960
SS3_replicate3_18.str.admix.K=5.out,582.339745
SS3_replicate3_19.str.admix.K=5.out,404.142017
SS3_replicate3_1.str.admix.K=5.out,265.545720
SS3_replicate3_2.str.admix.K=5.out,302.226788
SS3_replicate3_3.str.admix.K=5.out,578.239068
SS3_replicate3_4.str.admix.K=5.out,499.405922
SS3_replicate3_5.str.admix.K=5.out,364.084277
SS3_replicate3_6.str.admix.K=5.out,291.098841
SS3_replicate3_7.str.admix.K=5.out,320.613322
SS3_replicate3_8.str.admix.K=5.out,531.524697
SS3_replicate3_9.str.admix.K=5.out,397.525598
SS3_replicate4_0.str.admix.K=5.out,623.829489
SS3_replicate4_10.str.admix.K=5.out,395.400609
SS3_replicate4_11.str.admix.K=5.out,303.036838
SS3_replicate4_12.str.admix.K=5.out,573.577281
SS3_replicate4_13.str.admix.K=5.out,290.498508
SS3_replicate4_14.str.admix.K=5.out,448.470076
SS3_replicate4_15.str.admix.K=5.out,449.305877
SS3_replicate4_16.str.admix.K=5.out,561.648611
SS3_replicate4_17.str.admix.K=5.out,349.243544
SS3_replicate4_18.str.admix.K=5.out,316.724125
SS3_replicate4_19.str.admix.K=5.out,415.017604
SS3_replicate4_1.str.admix.K=5.out,670.751981
SS3_replicate4_2.str.admix.K=5.out,393.667029
SS3_replicate4_3.str.admix.K=5.out,456.426582
SS3_replicate4_4.str.admix.K=5.out,430.492581
SS3_replicate4_5.str.admix.K=5.out,312.369273
SS3_replicate4_6.str.admix.K=5.out,559.491863
SS3_replicate4_7.str.admix.K=5.out,381.685795
SS3_replicate4_8.str.admix.K=5.out,381.219615
SS3_replicate4_9.str.admix.K=5.out,348.112488
SS3_replicate5_0.str.admix.K=5.out,433.687220
SS3_replicate5_10.str.admix.K=5.out,450.462471
SS3_replicate5_11.str.admix.K=5.out,348.857252
SS3_replicate5_12.str.admix.K=5.out,364.161496
SS3_replicate5_13.str.admix.K=5.out,410.355438
SS3_replicate5_14.str.admix.K=5.out,762.309160
SS3_replicate5_15.str.admix.K=5.out,313.115500
SS3_replicate5_16.str.admix.K=5.out,372.058578
SS3_replicate5_17.str.admix.K=5.out,386.949565
SS3_replicate5_18.str.admix.K=5.out,371.539347
