i	k	etaik
0	0	0.000000
0	1	1.000000
1	0	0.412938
1	1	0.587062
2	0	0.999999
2	1	0.000001
3	0	0.000000
3	1	1.000000
4	0	0.000000
4	1	1.000000
5	0	0.546330
5	1	0.453670
6	0	0.000000
6	1	1.000000
7	0	0.396415
7	1	0.603585
8	0	0.999999
8	1	0.000001
9	0	0.412938
9	1	0.587062
10	0	1.000000
10	1	0.000000
11	0	1.000000
11	1	0.000000
12	0	0.511392
12	1	0.488608
13	0	0.546330
13	1	0.453670
14	0	1.000000
14	1	0.000000
15	0	0.511392
15	1	0.488608
16	0	0.000000
16	1	1.000000
17	0	0.546330
17	1	0.453670
18	0	1.000000
18	1	0.000000
19	0	0.546330
19	1	0.453670
20	0	1.000000
20	1	0.000000
21	0	0.999894
21	1	0.000106
22	0	1.000000
22	1	0.000000
23	0	1.000000
23	1	0.000000
24	0	0.999901
24	1	0.000099
25	0	1.000000
25	1	0.000000
26	0	1.000000
26	1	0.000000
27	0	1.000000
27	1	0.000000
28	0	1.000000
28	1	0.000000
29	0	1.000000
29	1	0.000000

