k	l	m	KLM
0	0	0	0.400130
0	0	1	0.599870
0	1	0	1.000000
0	1	1	0.000000
0	2	0	0.000000
0	2	1	1.000000
1	0	0	0.000000
1	0	1	1.000000
1	1	0	1.000000
1	1	1	0.000000
1	2	0	0.000000
1	2	1	1.000000
2	0	0	0.250125
2	0	1	0.749875
2	1	0	1.000000
2	1	1	0.000000
2	2	0	0.000000
2	2	1	1.000000
3	0	0	0.000000
3	0	1	1.000000
3	1	0	0.006691
3	1	1	0.993309
3	2	0	1.000000
3	2	1	0.000000
4	0	0	0.000000
4	0	1	1.000000
4	1	0	0.499939
4	1	1	0.500061
4	2	0	1.000000
4	2	1	0.000000
5	0	0	0.000000
5	0	1	1.000000
5	1	0	1.000000
5	1	1	0.000000
5	2	0	1.000000
5	2	1	0.000000

