i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.514030
0	4	0.000000
0	5	0.485970
0	6	0.000000
0	7	0.000000
1	0	0.000000
1	1	0.479019
1	2	0.000000
1	3	0.511973
1	4	0.000000
1	5	0.009008
1	6	0.000000
1	7	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.514030
2	4	0.000000
2	5	0.485970
2	6	0.000000
2	7	0.000000
3	0	0.000000
3	1	0.001398
3	2	0.000000
3	3	0.000000
3	4	0.000000
3	5	0.489069
3	6	0.509533
3	7	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.514030
4	4	0.000000
4	5	0.485970
4	6	0.000000
4	7	0.000000
5	0	0.000000
5	1	0.000003
5	2	0.000000
5	3	0.504851
5	4	0.000000
5	5	0.000014
5	6	0.495132
5	7	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.000000
6	4	0.000000
6	5	1.000000
6	6	0.000000
6	7	0.000000
7	0	0.000000
7	1	0.000004
7	2	0.000000
7	3	0.504850
7	4	0.000000
7	5	0.000015
7	6	0.495131
7	7	0.000000
8	0	0.000000
8	1	0.001163
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.489227
8	6	0.509610
8	7	0.000000
9	0	0.000000
9	1	0.001167
9	2	0.000000
9	3	0.000000
9	4	0.000000
9	5	0.489224
9	6	0.509609
9	7	0.000000
10	0	0.000000
10	1	0.000273
10	2	0.000000
10	3	0.000000
10	4	0.491003
10	5	0.004272
10	6	0.504452
10	7	0.000000
11	0	0.000000
11	1	0.000020
11	2	0.494095
11	3	0.004807
11	4	0.000000
11	5	0.000036
11	6	0.501041
11	7	0.000000
12	0	0.000000
12	1	0.000000
12	2	1.000000
12	3	0.000000
12	4	0.000000
12	5	0.000000
12	6	0.000000
12	7	0.000000
13	0	0.000000
13	1	0.000000
13	2	1.000000
13	3	0.000000
13	4	0.000000
13	5	0.000000
13	6	0.000000
13	7	0.000000
14	0	0.000000
