File,AIC
ILM10_replicate5_19.str.admix.K=8.out,3152.321995
ILM10_replicate5_1.str.admix.K=8.out,2145.002866
ILM10_replicate5_2.str.admix.K=8.out,3244.007469
ILM10_replicate5_3.str.admix.K=8.out,3602.122302
ILM10_replicate5_4.str.admix.K=8.out,2674.314932
ILM10_replicate5_5.str.admix.K=8.out,2315.074290
ILM10_replicate5_6.str.admix.K=8.out,2313.323617
ILM10_replicate5_7.str.admix.K=8.out,4147.026117
ILM10_replicate5_8.str.admix.K=8.out,4699.481428
ILM10_replicate5_9.str.admix.K=8.out,3340.924783
ILM10_replicate6_0.str.admix.K=8.out,3505.155960
ILM10_replicate6_10.str.admix.K=8.out,3267.342191
ILM10_replicate6_11.str.admix.K=8.out,4778.730809
ILM10_replicate6_12.str.admix.K=8.out,3732.915088
ILM10_replicate6_13.str.admix.K=8.out,3246.614776
ILM10_replicate6_14.str.admix.K=8.out,3079.944121
ILM10_replicate6_15.str.admix.K=8.out,3439.140757
ILM10_replicate6_16.str.admix.K=8.out,2983.963021
ILM10_replicate6_17.str.admix.K=8.out,2444.558880
ILM10_replicate6_18.str.admix.K=8.out,3258.028833
ILM10_replicate6_19.str.admix.K=8.out,2703.807293
ILM10_replicate6_1.str.admix.K=8.out,2225.355710
ILM10_replicate6_2.str.admix.K=8.out,2434.889749
ILM10_replicate6_3.str.admix.K=8.out,6222.591173
ILM10_replicate6_4.str.admix.K=8.out,2988.965400
ILM10_replicate6_5.str.admix.K=8.out,3358.907142
ILM10_replicate6_6.str.admix.K=8.out,2905.532401
ILM10_replicate6_7.str.admix.K=8.out,3313.191659
ILM10_replicate6_8.str.admix.K=8.out,4210.932263
ILM10_replicate6_9.str.admix.K=8.out,4328.071733
ILM10_replicate7_0.str.admix.K=8.out,2588.432060
ILM10_replicate7_10.str.admix.K=8.out,2461.993233
ILM10_replicate7_11.str.admix.K=8.out,3796.185252
ILM10_replicate7_12.str.admix.K=8.out,2544.620984
ILM10_replicate7_13.str.admix.K=8.out,2606.206629
ILM10_replicate7_14.str.admix.K=8.out,2892.054058
ILM10_replicate7_15.str.admix.K=8.out,2584.210518
ILM10_replicate7_16.str.admix.K=8.out,2597.919486
ILM10_replicate7_17.str.admix.K=8.out,3188.398300
ILM10_replicate7_18.str.admix.K=8.out,3732.613890
ILM10_replicate7_19.str.admix.K=8.out,3113.721986
ILM10_replicate7_1.str.admix.K=8.out,2371.734059
ILM10_replicate7_2.str.admix.K=8.out,3724.020290
ILM10_replicate7_3.str.admix.K=8.out,2515.106981
ILM10_replicate7_4.str.admix.K=8.out,5712.045945
ILM10_replicate7_5.str.admix.K=8.out,2409.253944
ILM10_replicate7_6.str.admix.K=8.out,2568.453253
ILM10_replicate7_7.str.admix.K=8.out,3763.437166
ILM10_replicate7_8.str.admix.K=8.out,5029.475323
ILM10_replicate7_9.str.admix.K=8.out,3104.933051
ILM10_replicate8_0.str.admix.K=8.out,3082.125082
ILM10_replicate8_10.str.admix.K=8.out,3232.906820
ILM10_replicate8_11.str.admix.K=8.out,2720.083687
ILM10_replicate8_12.str.admix.K=8.out,2484.145145
ILM10_replicate8_13.str.admix.K=8.out,3350.663926
ILM10_replicate8_14.str.admix.K=8.out,2926.800853
ILM10_replicate8_15.str.admix.K=8.out,2934.588228
ILM10_replicate8_16.str.admix.K=8.out,3072.780105
ILM10_replicate8_17.str.admix.K=8.out,2365.461588
ILM10_replicate8_18.str.admix.K=8.out,3732.706963
ILM10_replicate8_19.str.admix.K=8.out,2806.181346
ILM10_replicate8_1.str.admix.K=8.out,2545.534762
ILM10_replicate8_2.str.admix.K=8.out,2711.867945
ILM10_replicate8_3.str.admix.K=8.out,2284.048599
ILM10_replicate8_4.str.admix.K=8.out,3421.419652
ILM10_replicate8_5.str.admix.K=8.out,3174.607160
ILM10_replicate8_6.str.admix.K=8.out,3590.781463
ILM10_replicate8_7.str.admix.K=8.out,3345.885568
ILM10_replicate8_8.str.admix.K=8.out,4173.538789
ILM10_replicate8_9.str.admix.K=8.out,3055.376269
ILM10_replicate9_0.str.admix.K=8.out,3335.455343
ILM10_replicate9_10.str.admix.K=8.out,3534.209968
ILM10_replicate9_11.str.admix.K=8.out,1956.913036
ILM10_replicate9_12.str.admix.K=8.out,2714.980049
ILM10_replicate9_13.str.admix.K=8.out,2643.475382
ILM10_replicate9_14.str.admix.K=8.out,3149.288896
ILM10_replicate9_15.str.admix.K=8.out,2857.348298
ILM10_replicate9_16.str.admix.K=8.out,3209.341175
ILM10_replicate9_17.str.admix.K=8.out,2569.180104
ILM10_replicate9_18.str.admix.K=8.out,4140.169722
ILM10_replicate9_19.str.admix.K=8.out,2925.908952
ILM10_replicate9_1.str.admix.K=8.out,2911.758082
ILM10_replicate9_2.str.admix.K=8.out,2958.035461
ILM10_replicate9_3.str.admix.K=8.out,2982.690387
ILM10_replicate9_4.str.admix.K=8.out,3167.674279
ILM10_replicate9_5.str.admix.K=8.out,2832.250460
ILM10_replicate9_6.str.admix.K=8.out,4269.893935
ILM10_replicate9_7.str.admix.K=8.out,3312.454887
ILM10_replicate9_8.str.admix.K=8.out,2155.540323
ILM10_replicate9_9.str.admix.K=8.out,2252.951781
