i	k	etaik
0	0	0.620412
0	1	0.000000
0	2	0.379588
1	0	0.401431
1	1	0.000000
1	2	0.598569
2	0	0.604135
2	1	0.000000
2	2	0.395865
3	0	1.000000
3	1	0.000000
3	2	0.000000
4	0	1.000000
4	1	0.000000
4	2	0.000000
5	0	0.000000
5	1	0.415378
5	2	0.584622
6	0	1.000000
6	1	0.000000
6	2	0.000000
7	0	0.000000
7	1	0.000000
7	2	1.000000
8	0	1.000000
8	1	0.000000
8	2	0.000000
9	0	0.401431
9	1	0.000000
9	2	0.598569
10	0	1.000000
10	1	0.000000
10	2	0.000000
11	0	1.000000
11	1	0.000000
11	2	0.000000
12	0	0.175396
12	1	0.499840
12	2	0.324764
13	0	0.175396
13	1	0.499839
13	2	0.324765
14	0	0.000000
14	1	0.538566
14	2	0.461434
15	0	0.411652
15	1	0.588348
15	2	0.000000
16	0	0.504052
16	1	0.495948
16	2	0.000000
17	0	1.000000
17	1	0.000000
17	2	0.000000
18	0	0.620412
18	1	0.000000
18	2	0.379588
19	0	0.175397
19	1	0.499838
19	2	0.324765
20	0	1.000000
20	1	0.000000
20	2	0.000000
21	0	1.000000
21	1	0.000000
21	2	0.000000
22	0	1.000000
22	1	0.000000
22	2	0.000000
23	0	1.000000
23	1	0.000000
23	2	0.000000
24	0	1.000000
24	1	0.000000
24	2	0.000000
25	0	0.000000
25	1	0.555150
25	2	0.444850
26	0	1.000000
26	1	0.000000
26	2	0.000000
27	0	1.000000
27	1	0.000000
27	2	0.000000
28	0	1.000000
28	1	0.000000
28	2	0.000000
29	0	1.000000
29	1	0.000000
29	2	0.000000
30	0	0.629655
30	1	0.000000
30	2	0.370345
31	0	0.000005
31	1	0.496866
31	2	0.503129
32	0	0.629655
32	1	0.000000
32	2	0.370345
33	0	0.555484
33	1	0.444516
33	2	0.000000
34	0	0.000000
34	1	0.594613
34	2	0.405387
35	0	0.629655
35	1	0.000000
35	2	0.370345
36	0	0.448509
36	1	0.551491
36	2	0.000000
37	0	0.629655
37	1	0.000000
37	2	0.370345
38	0	0.180547
38	1	0.000000
38	2	0.819453
39	0	0.000006
39	1	0.496866
39	2	0.503128
40	0	0.485688
40	1	0.514312
40	2	0.000000
41	0	1.000000
41	1	0.000000
41	2	0.000000
42	0	0.504052
42	1	0.495948
42	2	0.000000
43	0	0.000000
43	1	1.000000
43	2	0.000000
44	0	0.585343
44	1	0.414657
44	2	0.000000
45	0	0.408296
45	1	0.591704
45	2	0.000000
46	0	1.000000
46	1	0.000000
46	2	0.000000
47	0	0.408296
47	1	0.591704
47	2	0.000000
48	0	0.000000
48	1	1.000000
48	2	0.000000
49	0	0.000000
49	1	1.000000
49	2	0.000000
50	0	1.000000
50	1	0.000000
50	2	0.000000
51	0	1.000000
51	1	0.000000
51	2	0.000000
52	0	0.629655
52	1	0.000000
52	2	0.370345
53	0	1.000000
53	1	0.000000
53	2	0.000000
54	0	1.000000
54	1	0.000000
54	2	0.000000
55	0	1.000000
55	1	0.000000
55	2	0.000000
56	0	1.000000
56	1	0.000000
56	2	0.000000
57	0	1.000000
57	1	0.000000
57	2	0.000000
58	0	1.000000
58	1	0.000000
58	2	0.000000
59	0	1.000000
59	1	0.000000
59	2	0.000000
60	0	1.000000
60	1	0.000000
60	2	0.000000
61	0	1.000000
61	1	0.000000
61	2	0.000000
62	0	0.461755
62	1	0.000000
62	2	0.538245
63	0	0.000000
63	1	0.000000
63	2	1.000000
64	0	0.401431
64	1	0.000000
64	2	0.598569
65	0	0.000000
65	1	0.000000
65	2	1.000000
66	0	0.000000
66	1	0.000000
66	2	1.000000
67	0	0.209929
67	1	0.000000
67	2	0.790071
68	0	0.000000
68	1	0.000000
68	2	1.000000
69	0	0.000000
69	1	0.000000
69	2	1.000000
70	0	0.411652
70	1	0.588348
70	2	0.000000
71	0	0.000000
71	1	1.000000
71	2	0.000000
72	0	0.507003
72	1	0.492997
72	2	0.000000
73	0	0.000000
73	1	1.000000
73	2	0.000000
74	0	0.485688
74	1	0.514312
74	2	0.000000
75	0	0.485688
75	1	0.514312
75	2	0.000000
76	0	0.000000
76	1	1.000000
76	2	0.000000
77	0	0.000000
77	1	1.000000
77	2	0.000000
78	0	0.000000
78	1	1.000000
78	2	0.000000
79	0	0.000000
79	1	1.000000
79	2	0.000000
80	0	0.629655
80	1	0.000000
80	2	0.370345
81	0	0.629655
81	1	0.000000
81	2	0.370345
82	0	0.000000
82	1	1.000000
82	2	0.000000
83	0	0.485688
83	1	0.514312
83	2	0.000000
84	0	0.504052
84	1	0.495948
84	2	0.000000
85	0	0.504052
85	1	0.495948
85	2	0.000000
86	0	0.359758
86	1	0.640242
86	2	0.000000
87	0	0.461755
87	1	0.000000
87	2	0.538245
88	0	1.000000
88	1	0.000000
88	2	0.000000
89	0	1.000000
89	1	0.000000
89	2	0.000000
90	0	0.560907
90	1	0.439093
90	2	0.000000
91	0	1.000000
91	1	0.000000
91	2	0.000000
92	0	1.000000
92	1	0.000000
92	2	0.000000
93	0	0.558408
93	1	0.441592
93	2	0.000000
94	0	1.000000
94	1	0.000000
94	2	0.000000
95	0	1.000000
95	1	0.000000
95	2	0.000000
96	0	1.000000
96	1	0.000000
96	2	0.000000
97	0	0.507003
97	1	0.492997
97	2	0.000000
98	0	1.000000
98	1	0.000000
98	2	0.000000
99	0	1.000000
99	1	0.000000
99	2	0.000000

