i	k	etaik
0	0	0.499833
0	1	0.000020
0	2	0.500147
1	0	0.000000
1	1	0.000000
1	2	1.000000
2	0	0.000000
2	1	0.520564
2	2	0.479436
3	0	0.476265
3	1	0.000002
3	2	0.523733
4	0	0.000000
4	1	0.520564
4	2	0.479436
5	0	0.000000
5	1	0.473241
5	2	0.526759
6	0	0.000000
6	1	0.000000
6	2	1.000000
7	0	0.000000
7	1	0.000000
7	2	1.000000
8	0	0.000000
8	1	0.458750
8	2	0.541250
9	0	0.445532
9	1	0.554468
9	2	0.000000
10	0	0.000000
10	1	1.000000
10	2	0.000000
11	0	1.000000
11	1	0.000000
11	2	0.000000
12	0	0.436219
12	1	0.563781
12	2	0.000000
13	0	1.000000
13	1	0.000000
13	2	0.000000
14	0	1.000000
14	1	0.000000
14	2	0.000000
15	0	0.000000
15	1	0.000000
15	2	1.000000
16	0	0.516478
16	1	0.000000
16	2	0.483522
17	0	0.436219
17	1	0.563781
17	2	0.000000
18	0	0.000000
18	1	1.000000
18	2	0.000000
19	0	0.000000
19	1	1.000000
19	2	0.000000
20	0	0.000000
20	1	1.000000
20	2	0.000000
21	0	1.000000
21	1	0.000000
21	2	0.000000
22	0	0.536815
22	1	0.463185
22	2	0.000000
23	0	0.000000
23	1	1.000000
23	2	0.000000
24	0	0.607495
24	1	0.000030
24	2	0.392475
25	0	0.000000
25	1	1.000000
25	2	0.000000
26	0	1.000000
26	1	0.000000
26	2	0.000000
27	0	0.000000
27	1	1.000000
27	2	0.000000
28	0	0.000000
28	1	1.000000
28	2	0.000000
29	0	0.000000
29	1	1.000000
29	2	0.000000
30	0	0.000000
30	1	1.000000
30	2	0.000000
31	0	0.536815
31	1	0.463185
31	2	0.000000
32	0	0.000000
32	1	1.000000
32	2	0.000000
33	0	0.000000
33	1	0.000000
33	2	1.000000
34	0	0.000000
34	1	1.000000
34	2	0.000000
35	0	0.000000
35	1	0.000000
35	2	1.000000
36	0	0.000000
36	1	0.520198
36	2	0.479802
37	0	0.000000
37	1	0.498940
37	2	0.501060
38	0	0.584885
38	1	0.415115
38	2	0.000000
39	0	0.493258
39	1	0.506742
39	2	0.000000
40	0	0.516478
40	1	0.000000
40	2	0.483522
41	0	0.000000
41	1	0.000000
41	2	1.000000
42	0	0.536815
42	1	0.463185
42	2	0.000000
43	0	0.999503
43	1	0.000497
43	2	0.000000
44	0	1.000000
44	1	0.000000
44	2	0.000000
45	0	0.000000
45	1	1.000000
45	2	0.000000
46	0	1.000000
46	1	0.000000
46	2	0.000000
47	0	0.536815
47	1	0.463185
47	2	0.000000
48	0	0.000000
48	1	0.000000
48	2	1.000000
49	0	0.536815
49	1	0.463185
49	2	0.000000
50	0	0.000000
50	1	0.000000
50	2	1.000000
51	0	0.000000
51	1	0.498940
51	2	0.501060
52	0	0.000000
52	1	0.489444
52	2	0.510556
53	0	0.000000
53	1	0.000000
53	2	1.000000
54	0	0.000000
54	1	0.489444
54	2	0.510556
55	0	0.499477
55	1	0.000000
55	2	0.500523
56	0	0.000000
56	1	0.471968
56	2	0.528032
57	0	0.493258
57	1	0.506742
57	2	0.000000
58	0	0.000000
58	1	0.498940
58	2	0.501060
59	0	0.000000
59	1	1.000000
59	2	0.000000
60	0	1.000000
60	1	0.000000
60	2	0.000000
61	0	1.000000
61	1	0.000000
61	2	0.000000
62	0	0.482822
62	1	0.000005
62	2	0.517173
63	0	0.000000
63	1	0.000000
63	2	1.000000
64	0	0.482822
64	1	0.000005
64	2	0.517173
65	0	0.000000
65	1	0.000000
65	2	1.000000
66	0	0.000000
66	1	0.000000
66	2	1.000000
67	0	0.499833
67	1	0.000020
67	2	0.500147
68	0	0.499834
68	1	0.000019
68	2	0.500147
69	0	0.000000
69	1	0.000000
69	2	1.000000
70	0	0.488827
70	1	0.511173
70	2	0.000000
71	0	0.000000
71	1	0.000000
71	2	1.000000
72	0	0.488827
72	1	0.511173
72	2	0.000000
73	0	0.000000
73	1	0.489444
73	2	0.510556
74	0	0.000000
74	1	0.000000
74	2	1.000000
75	0	0.000000
75	1	0.000000
75	2	1.000000
76	0	0.000000
76	1	0.539157
76	2	0.460843
77	0	0.000000
77	1	0.000000
77	2	1.000000
78	0	0.000000
78	1	0.000000
78	2	1.000000
79	0	0.000000
79	1	1.000000
79	2	0.000000
80	0	0.499834
80	1	0.000019
80	2	0.500147
81	0	0.516478
81	1	0.000000
81	2	0.483522
82	0	0.516478
82	1	0.000000
82	2	0.483522
83	0	0.516478
83	1	0.000000
83	2	0.483522
84	0	1.000000
84	1	0.000000
84	2	0.000000
85	0	0.499833
85	1	0.000020
85	2	0.500147
86	0	0.436219
86	1	0.563781
86	2	0.000000
87	0	0.000000
87	1	0.000000
87	2	1.000000
88	0	0.516478
88	1	0.000000
88	2	0.483522
89	0	0.000000
89	1	0.000000
89	2	1.000000
90	0	0.000000
90	1	1.000000
90	2	0.000000
91	0	0.499833
91	1	0.000020
91	2	0.500147
92	0	0.499836
92	1	0.000017
92	2	0.500147
93	0	0.000000
93	1	1.000000
93	2	0.000000
94	0	1.000000
94	1	0.000000
94	2	0.000000
95	0	1.000000
95	1	0.000000
95	2	0.000000
96	0	0.499829
96	1	0.000025
96	2	0.500147
97	0	0.544298
97	1	0.000000
97	2	0.455702
98	0	0.436219
98	1	0.563781
98	2	0.000000
99	0	0.436219
99	1	0.563781
99	2	0.000000

