k	l	m	KLM
0	0	0	0.349097
0	0	1	0.650903
0	1	0	0.000000
0	1	1	1.000000
0	2	0	0.000000
0	2	1	1.000000
0	3	0	0.826507
0	3	1	0.173493
0	4	0	0.173493
0	4	1	0.826507
0	5	0	0.000000
0	5	1	1.000000
0	6	0	0.999998
0	6	1	0.000002
0	7	0	0.782419
0	7	1	0.217581
0	8	0	0.828283
0	8	1	0.171717
0	9	0	0.000000
0	9	1	1.000000
0	10	0	0.349097
0	10	1	0.650903
0	11	0	0.000000
0	11	1	1.000000
0	12	0	0.173493
0	12	1	0.826507
0	13	0	0.020182
0	13	1	0.979818
0	14	0	0.000000
0	14	1	1.000000
0	15	0	0.826507
0	15	1	0.173493
0	16	0	0.000000
0	16	1	1.000000
0	17	0	1.000000
0	17	1	0.000000
0	18	0	0.999998
0	18	1	0.000002
0	19	0	0.000002
0	19	1	0.999998
0	20	0	0.884226
0	20	1	0.115774
0	21	0	0.349097
0	21	1	0.650903
0	22	0	0.999998
0	22	1	0.000002
0	23	0	0.171717
0	23	1	0.828283
0	24	0	0.999998
0	24	1	0.000002
0	25	0	0.826507
0	25	1	0.173493
0	26	0	0.999998
0	26	1	0.000002
0	27	0	0.979818
0	27	1	0.020182
0	28	0	0.173493
0	28	1	0.826507
1	0	0	0.000000
1	0	1	1.000000
1	1	0	0.071193
1	1	1	0.928807
1	2	0	0.027418
1	2	1	0.972582
1	3	0	0.000000
1	3	1	1.000000
1	4	0	1.000000
1	4	1	0.000000
1	5	0	0.021930
1	5	1	0.978070
1	6	0	0.000000
1	6	1	1.000000
1	7	0	1.000000
1	7	1	0.000000
1	8	0	1.000000
1	8	1	0.000000
1	9	0	0.043892
1	9	1	0.956108
1	10	0	0.000000
1	10	1	1.000000
1	11	0	0.005480
1	11	1	0.994520
1	12	0	1.000000
1	12	1	0.000000
1	13	0	0.129329
1	13	1	0.870671
1	14	0	0.027418
1	14	1	0.972582
1	15	0	0.000000
1	15	1	1.000000
1	16	0	0.065885
1	16	1	0.934115
1	17	0	0.983555
1	17	1	0.016445
1	18	0	0.000000
1	18	1	1.000000
1	19	0	1.000000
1	19	1	0.000000
1	20	0	1.000000
1	20	1	0.000000
1	21	0	0.000000
1	21	1	1.000000
1	22	0	0.000000
1	22	1	1.000000
1	23	0	0.000000
1	23	1	1.000000
1	24	0	0.000000
1	24	1	1.000000
1	25	0	0.000000
1	25	1	1.000000
1	26	0	0.000000
1	26	1	1.000000
1	27	0	0.870671
1	27	1	0.129329
1	28	0	1.000000
1	28	1	0.000000

