k	l	m	KLM
0	0	0	1.000000
0	0	1	0.000000
0	1	0	0.896419
0	1	1	0.103581
0	2	0	0.895780
0	2	1	0.104220
0	3	0	0.000000
0	3	1	1.000000
0	4	0	1.000000
0	4	1	0.000000
0	5	0	0.604884
0	5	1	0.395116
0	6	0	0.000000
0	6	1	1.000000
0	7	0	0.000000
0	7	1	1.000000
0	8	0	0.978938
0	8	1	0.021062
0	9	0	0.914248
0	9	1	0.085752
0	10	0	0.000000
0	10	1	1.000000
0	11	0	0.395116
0	11	1	0.604884
0	12	0	0.978379
0	12	1	0.021621
0	13	0	0.021055
0	13	1	0.978945
0	14	0	0.585721
0	14	1	0.414279
0	14	2	0.000000
0	15	0	0.000000
0	15	1	1.000000
0	16	0	0.985771
0	16	1	0.014229
0	17	0	0.489490
0	17	1	0.510510
0	18	0	1.000000
0	18	1	0.000000
0	19	0	1.000000
0	19	1	0.000000
0	20	0	0.010340
0	20	1	0.989660
0	21	0	0.395116
0	21	1	0.604884
0	22	0	0.848690
0	22	1	0.151310
0	23	0	0.104220
0	23	1	0.895780
0	24	0	0.978725
0	24	1	0.021275
0	25	0	0.896419
0	25	1	0.103581
0	26	0	1.000000
0	26	1	0.000000
0	27	0	0.604884
0	27	1	0.395116
0	28	0	0.410997
0	28	1	0.589003
1	0	0	0.109137
1	0	1	0.890863
1	1	0	1.000000
1	1	1	0.000000
1	2	0	1.000000
1	2	1	0.000000
1	3	0	0.117354
1	3	1	0.882646
1	4	0	0.000000
1	4	1	1.000000
1	5	0	1.000000
1	5	1	0.000000
1	6	0	0.247649
1	6	1	0.752351
1	7	0	0.097688
1	7	1	0.902312
1	8	0	1.000000
1	8	1	0.000000
1	9	0	1.000000
1	9	1	0.000000
1	10	0	0.013107
1	10	1	0.986893
1	11	0	0.000000
1	11	1	1.000000
1	12	0	0.882787
1	12	1	0.117213
1	13	0	0.000000
1	13	1	1.000000
1	14	0	0.000000
1	14	1	0.974010
1	14	2	0.025990
1	15	0	0.013107
1	15	1	0.986893
1	16	0	0.932538
1	16	1	0.067462
1	17	0	0.000000
1	17	1	1.000000
1	18	0	0.000000
1	18	1	1.000000
1	19	0	0.993450
1	19	1	0.006550
1	20	0	0.009895
1	20	1	0.990105
1	21	0	0.000000
1	21	1	1.000000
1	22	0	1.000000
1	22	1	0.000000
1	23	0	0.000000
1	23	1	1.000000
1	24	0	1.000000
1	24	1	0.000000
1	25	0	1.000000
1	25	1	0.000000
1	26	0	0.980386
1	26	1	0.019614
1	27	0	1.000000
1	27	1	0.000000
1	28	0	1.000000
1	28	1	0.000000

