k	l	m	KLM
0	0	0	0.993606
0	0	1	0.006394
0	1	0	0.993606
0	1	1	0.006394
0	2	0	1.000000
0	2	1	0.000000
0	3	0	1.000000
0	3	1	0.000000
0	4	0	0.000000
0	4	1	1.000000
0	5	0	0.038323
0	5	1	0.961677
0	6	0	0.000000
0	6	1	1.000000
0	7	0	1.000000
0	7	1	0.000000
0	8	0	0.864502
0	8	1	0.135498
0	9	0	0.000000
0	9	1	1.000000
0	10	0	0.038447
0	10	1	0.961553
0	11	0	0.000000
0	11	1	1.000000
0	12	0	0.828269
0	12	1	0.171731
0	13	0	0.993606
0	13	1	0.006394
0	14	0	1.000000
0	14	1	0.000000
0	15	0	1.000000
0	15	1	0.000000
0	16	0	0.935808
0	16	1	0.064192
0	17	0	1.000000
0	17	1	0.000000
0	18	0	0.000000
0	18	1	1.000000
0	19	0	0.076732
0	19	1	0.923268
0	20	0	1.000000
0	20	1	0.000000
1	0	0	1.000000
1	0	1	0.000000
1	1	0	1.000000
1	1	1	0.000000
1	2	0	0.550940
1	2	1	0.449060
1	3	0	0.741499
1	3	1	0.258501
1	4	0	0.069600
1	4	1	0.930400
1	5	0	0.000000
1	5	1	1.000000
1	6	0	0.069600
1	6	1	0.930400
1	7	0	0.977024
1	7	1	0.022976
1	8	0	1.000000
1	8	1	0.000000
1	9	0	0.528394
1	9	1	0.471606
1	10	0	0.000000
1	10	1	1.000000
1	11	0	0.022819
1	11	1	0.977181
1	12	0	1.000000
1	12	1	0.000000
1	13	0	1.000000
1	13	1	0.000000
1	14	0	0.953560
1	14	1	0.046440
1	15	0	0.977181
1	15	1	0.022819
1	16	0	1.000000
1	16	1	0.000000
1	17	0	0.471606
1	17	1	0.528394
1	18	0	0.046440
1	18	1	0.953560
1	19	0	0.000000
1	19	1	1.000000
1	20	0	0.977181
1	20	1	0.022819

