File,BIC
K1_ILM10_replicate4_9.str.admix.K=1.out,3490.285558
K1_ILM10_replicate5_0.str.admix.K=1.out,3058.167746
K1_ILM10_replicate5_10.str.admix.K=1.out,2754.826217
K1_ILM10_replicate5_11.str.admix.K=1.out,2676.273607
K1_ILM10_replicate5_12.str.admix.K=1.out,3650.599359
K1_ILM10_replicate5_13.str.admix.K=1.out,2821.963808
K1_ILM10_replicate5_14.str.admix.K=1.out,3528.360199
K1_ILM10_replicate5_15.str.admix.K=1.out,2315.546472
K1_ILM10_replicate5_16.str.admix.K=1.out,3093.568489
K1_ILM10_replicate5_17.str.admix.K=1.out,4813.881676
K1_ILM10_replicate5_18.str.admix.K=1.out,2352.371110
K1_ILM10_replicate5_19.str.admix.K=1.out,4173.413685
K1_ILM10_replicate5_1.str.admix.K=1.out,1588.593620
K1_ILM10_replicate5_2.str.admix.K=1.out,3115.507362
K1_ILM10_replicate5_3.str.admix.K=1.out,4155.543281
K1_ILM10_replicate5_4.str.admix.K=1.out,3287.922171
K1_ILM10_replicate5_5.str.admix.K=1.out,1572.450921
K1_ILM10_replicate5_6.str.admix.K=1.out,1535.099470
K1_ILM10_replicate5_7.str.admix.K=1.out,6426.006032
K1_ILM10_replicate5_8.str.admix.K=1.out,5935.685714
K1_ILM10_replicate5_9.str.admix.K=1.out,3552.361009
K1_ILM10_replicate6_0.str.admix.K=1.out,3990.322906
K1_ILM10_replicate6_10.str.admix.K=1.out,4026.310348
K1_ILM10_replicate6_11.str.admix.K=1.out,6138.001211
K1_ILM10_replicate6_12.str.admix.K=1.out,4765.215319
K1_ILM10_replicate6_13.str.admix.K=1.out,4009.172865
K1_ILM10_replicate6_14.str.admix.K=1.out,3293.208624
K1_ILM10_replicate6_15.str.admix.K=1.out,3451.895002
K1_ILM10_replicate6_16.str.admix.K=1.out,3265.546078
K1_ILM10_replicate6_17.str.admix.K=1.out,1683.314715
K1_ILM10_replicate6_18.str.admix.K=1.out,3104.656000
K1_ILM10_replicate6_19.str.admix.K=1.out,2375.467032
K1_ILM10_replicate6_1.str.admix.K=1.out,1658.530181
K1_ILM10_replicate6_2.str.admix.K=1.out,2237.106675
K1_ILM10_replicate6_3.str.admix.K=1.out,10797.875705
K1_ILM10_replicate6_4.str.admix.K=1.out,2640.229079
K1_ILM10_replicate6_5.str.admix.K=1.out,3964.674385
K1_ILM10_replicate6_6.str.admix.K=1.out,2587.281932
K1_ILM10_replicate6_7.str.admix.K=1.out,3764.456651
K1_ILM10_replicate6_8.str.admix.K=1.out,5653.278767
K1_ILM10_replicate6_9.str.admix.K=1.out,5913.932157
K1_ILM10_replicate7_0.str.admix.K=1.out,2522.180788
K1_ILM10_replicate7_10.str.admix.K=1.out,2146.363667
K1_ILM10_replicate7_11.str.admix.K=1.out,4670.286518
K1_ILM10_replicate7_12.str.admix.K=1.out,2855.089163
K1_ILM10_replicate7_13.str.admix.K=1.out,2616.784205
K1_ILM10_replicate7_14.str.admix.K=1.out,2731.090622
K1_ILM10_replicate7_15.str.admix.K=1.out,2446.504777
K1_ILM10_replicate7_16.str.admix.K=1.out,2060.728200
K1_ILM10_replicate7_17.str.admix.K=1.out,3319.556623
K1_ILM10_replicate7_18.str.admix.K=1.out,5421.708890
K1_ILM10_replicate7_19.str.admix.K=1.out,3356.801873
K1_ILM10_replicate7_1.str.admix.K=1.out,1961.622456
K1_ILM10_replicate7_2.str.admix.K=1.out,5236.987896
K1_ILM10_replicate7_3.str.admix.K=1.out,1886.658130
K1_ILM10_replicate7_4.str.admix.K=1.out,9369.104439
K1_ILM10_replicate7_5.str.admix.K=1.out,1628.427000
K1_ILM10_replicate7_6.str.admix.K=1.out,2339.793571
K1_ILM10_replicate7_7.str.admix.K=1.out,4622.761231
K1_ILM10_replicate7_8.str.admix.K=1.out,6683.902625
K1_ILM10_replicate7_9.str.admix.K=1.out,3554.700602
