i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.474569
0	3	0.525431
1	0	0.547342
1	1	0.000000
1	2	0.452658
1	3	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	1.000000
3	0	0.000000
3	1	0.600082
3	2	0.399918
3	3	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.474569
4	3	0.525431
5	0	0.000000
5	1	0.000000
5	2	0.474569
5	3	0.525431
6	0	0.000000
6	1	0.000000
6	2	0.000004
6	3	0.999996
7	0	0.000000
7	1	0.000000
7	2	1.000000
7	3	0.000000
8	0	0.000000
8	1	0.000000
8	2	0.474569
8	3	0.525431
9	0	0.000000
9	1	0.000000
9	2	0.474569
9	3	0.525431
10	0	0.000000
10	1	1.000000
10	2	0.000000
10	3	0.000000
11	0	0.000000
11	1	0.407964
11	2	0.000000
11	3	0.592036
12	0	0.000000
12	1	1.000000
12	2	0.000000
12	3	0.000000
13	0	0.000000
13	1	1.000000
13	2	0.000000
13	3	0.000000
14	0	0.454803
14	1	0.000000
14	2	0.000000
14	3	0.545196
15	0	0.000000
15	1	1.000000
15	2	0.000000
15	3	0.000000
16	0	0.000000
16	1	0.407964
16	2	0.000000
16	3	0.592036
17	0	0.000000
17	1	1.000000
17	2	0.000000
17	3	0.000000
18	0	0.000000
18	1	0.999454
18	2	0.000546
18	3	0.000000
19	0	0.000000
19	1	1.000000
19	2	0.000000
19	3	0.000000
20	0	0.000000
20	1	0.000000
20	2	1.000000
20	3	0.000000
21	0	0.000000
21	1	0.000000
21	2	1.000000
21	3	0.000000
22	0	0.000000
22	1	0.000000
22	2	0.474569
22	3	0.525431
23	0	0.000000
23	1	0.000000
23	2	0.459998
23	3	0.540002
24	0	0.000000
24	1	0.000000
24	2	0.474569
24	3	0.525431
25	0	0.000000
25	1	0.627074
25	2	0.372926
25	3	0.000000
26	0	0.000000
26	1	0.000000
26	2	1.000000
26	3	0.000000
27	0	0.000000
27	1	0.000000
27	2	0.474569
27	3	0.525431
28	0	0.000000
