k	l	m	KLM
0	0	0	0.706623
0	0	1	0.293377
0	1	0	0.000000
0	1	1	1.000000
0	2	0	0.000000
0	2	1	1.000000
0	3	0	0.062937
0	3	1	0.937063
0	4	0	0.697689
0	4	1	0.302311
0	5	0	1.000000
0	5	1	0.000000
0	6	0	0.000000
0	6	1	1.000000
0	7	0	0.037252
0	7	1	0.962748
0	8	0	0.962586
0	8	1	0.037414
0	9	0	0.293377
0	9	1	0.706623
0	10	0	0.037252
0	10	1	0.962748
0	11	0	0.012491
0	11	1	0.987509
0	12	0	0.697689
0	12	1	0.302311
0	13	0	0.000000
0	13	1	1.000000
0	14	0	0.987477
0	14	1	0.012523
0	15	0	0.452832
0	15	1	0.547168
0	16	0	0.987552
0	16	1	0.012448
0	17	0	1.000000
0	17	1	0.000000
0	18	0	0.697689
0	18	1	0.302311
0	19	0	0.293377
0	19	1	0.706623
0	20	0	0.000000
0	20	1	1.000000
1	0	0	1.000000
1	0	1	0.000000
1	1	0	0.162049
1	1	1	0.837951
1	2	0	0.162049
1	2	1	0.837951
1	3	0	0.000000
1	3	1	1.000000
1	4	0	0.000000
1	4	1	1.000000
1	5	0	0.975007
1	5	1	0.024993
1	6	0	0.067148
1	6	1	0.932852
1	7	0	0.000000
1	7	1	1.000000
1	8	0	1.000000
1	8	1	0.000000
1	9	0	0.000000
1	9	1	1.000000
1	10	0	0.000000
1	10	1	1.000000
1	11	0	0.000000
1	11	1	1.000000
1	12	0	0.000000
1	12	1	1.000000
1	13	0	0.083038
1	13	1	0.916962
1	14	0	1.000000
1	14	1	0.000000
1	15	0	1.000000
1	15	1	0.000000
1	16	0	1.000000
1	16	1	0.000000
1	17	0	0.562906
1	17	1	0.437094
1	18	0	0.000000
1	18	1	1.000000
1	19	0	0.000000
1	19	1	1.000000
1	20	0	0.108379
1	20	1	0.891621

