i	k	etaik
0	0	0.000000
0	1	1.000000
0	2	0.000000
1	0	0.000141
1	1	0.725477
1	2	0.274381
2	0	0.208156
2	1	0.535917
2	2	0.255927
3	0	0.386089
3	1	0.000000
3	2	0.613911
4	0	0.386089
4	1	0.000000
4	2	0.613911
5	0	0.000000
5	1	0.000000
5	2	1.000000
6	0	0.386089
6	1	0.000000
6	2	0.613911
7	0	0.000000
7	1	1.000000
7	2	0.000000
8	0	0.000000
8	1	0.000000
8	2	1.000000
9	0	0.000000
9	1	0.455060
9	2	0.544940
10	0	0.000000
10	1	0.469215
10	2	0.530785
11	0	0.987409
11	1	0.000000
11	2	0.012591
12	0	0.000000
12	1	0.000000
12	2	1.000000
13	0	0.481115
13	1	0.000003
13	2	0.518881
14	0	0.274058
14	1	0.725942
14	2	0.000000
15	0	0.000000
15	1	0.000000
15	2	1.000000
16	0	0.000000
16	1	0.478556
16	2	0.521444
17	0	0.481116
17	1	0.000003
17	2	0.518881
18	0	0.274058
18	1	0.725942
18	2	0.000000
19	0	0.674538
19	1	0.325462
19	2	0.000000
20	0	0.430090
20	1	0.569910
20	2	0.000000
21	0	0.000000
21	1	1.000000
21	2	0.000000
22	0	0.000000
22	1	0.460719
22	2	0.539281
23	0	0.462385
23	1	0.000007
23	2	0.537608
24	0	0.999953
24	1	0.000047
24	2	0.000000
25	0	0.430090
25	1	0.569910
25	2	0.000000
26	0	0.000000
26	1	1.000000
26	2	0.000000
27	0	1.000000
27	1	0.000000
27	2	0.000000
28	0	0.462386
28	1	0.000006
28	2	0.537608
29	0	0.000000
29	1	0.478556
29	2	0.521444
30	0	0.729448
30	1	0.270552
30	2	0.000000
31	0	0.000000
31	1	1.000000
31	2	0.000000
32	0	0.000000
32	1	0.446582
32	2	0.553418
33	0	0.000000
33	1	1.000000
33	2	0.000000
34	0	0.000000
34	1	1.000000
34	2	0.000000
35	0	0.000000
35	1	1.000000
35	2	0.000000
36	0	0.000000
36	1	1.000000
36	2	0.000000
37	0	0.319186
37	1	0.680814
37	2	0.000000
38	0	0.000000
38	1	0.400018
38	2	0.599982
39	0	0.319186
39	1	0.680814
39	2	0.000000
40	0	0.000144
