i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.124382
0	4	0.000030
0	5	0.000000
0	6	0.499955
0	7	0.000000
0	8	0.375633
0	9	0.000000
0	10	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
1	3	0.006417
1	4	0.000032
1	5	0.000000
1	6	0.498592
1	7	0.000000
1	8	0.006991
1	9	0.487968
1	10	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
2	4	0.000046
2	5	0.000000
2	6	0.999954
2	7	0.000000
2	8	0.000000
2	9	0.000000
2	10	0.000000
3	0	0.000000
3	1	0.505390
3	2	0.000000
3	3	0.000338
3	4	0.000000
3	5	0.000000
3	6	0.492414
3	7	0.000000
3	8	0.001859
3	9	0.000000
3	10	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.193708
4	4	0.000000
4	5	0.000000
4	6	0.000000
4	7	0.000000
4	8	0.318056
4	9	0.488235
4	10	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.096436
5	4	0.000023
5	5	0.000000
5	6	0.499966
5	7	0.000000
5	8	0.403575
5	9	0.000000
5	10	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.004191
6	4	0.000031
6	5	0.000000
6	6	0.498608
6	7	0.000000
6	8	0.009199
6	9	0.487971
6	10	0.000000
7	0	0.000000
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	0.000016
7	5	0.000000
7	6	0.999984
7	7	0.000000
7	8	0.000000
7	9	0.000000
7	10	0.000000
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.000000
8	6	0.000000
8	7	0.000000
8	8	0.000000
8	9	1.000000
8	10	0.000000
9	0	0.000000
9	1	0.000000
9	2	0.000000
9	3	0.006477
9	4	0.000000
9	5	0.000000
9	6	0.498541
9	7	0.000000
9	8	0.007032
9	9	0.487950
9	10	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.000000
