i	k	etaik
0	0	0.000000
0	1	0.371450
0	2	0.000000
0	3	0.000000
0	4	0.000000
0	5	0.000000
0	6	0.628550
0	7	0.000000
0	8	0.000000
1	0	0.000000
1	1	0.371450
1	2	0.000000
1	3	0.000000
1	4	0.000000
1	5	0.000000
1	6	0.628550
1	7	0.000000
1	8	0.000000
2	0	0.442052
2	1	0.000000
2	2	0.000000
2	3	0.000000
2	4	0.000000
2	5	0.000000
2	6	0.557948
2	7	0.000000
2	8	0.000000
3	0	0.000000
3	1	0.000000
3	2	0.000000
3	3	0.000000
3	4	0.000000
3	5	0.000000
3	6	1.000000
3	7	0.000000
3	8	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	1.000000
4	4	0.000000
4	5	0.000000
4	6	0.000000
4	7	0.000000
4	8	0.000000
5	0	0.000000
5	1	0.370479
5	2	0.000000
5	3	0.317737
5	4	0.000000
5	5	0.000000
5	6	0.081958
5	7	0.000000
5	8	0.229826
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.496520
6	4	0.000000
6	5	0.000000
6	6	0.503480
6	7	0.000000
6	8	0.000000
7	0	0.000000
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	0.000000
7	5	0.000000
7	6	1.000000
7	7	0.000000
7	8	0.000000
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.000000
8	6	1.000000
8	7	0.000000
8	8	0.000000
9	0	0.000000
9	1	0.371450
9	2	0.000000
9	3	0.000000
9	4	0.000000
9	5	0.000000
9	6	0.628550
9	7	0.000000
9	8	0.000000
10	0	0.522943
10	1	0.000000
10	2	0.000000
10	3	0.477057
10	4	0.000000
10	5	0.000000
10	6	0.000000
10	7	0.000000
10	8	0.000000
11	0	0.522943
11	1	0.000000
11	2	0.000000
11	3	0.477057
11	4	0.000000
11	5	0.000000
11	6	0.000000
11	7	0.000000
11	8	0.000000
12	0	0.000000
12	1	0.000000
12	2	0.277178
12	3	0.000000
12	4	0.000000
12	5	0.000000
12	6	0.722822
12	7	0.000000
12	8	0.000000
13	0	1.000000
13	1	0.000000
13	2	0.000000
13	3	0.000000
13	4	0.000000
13	5	0.000000
13	6	0.000000
13	7	0.000000
13	8	0.000000
14	0	0.000000
14	1	0.000000
14	2	0.142524
14	3	0.496521
14	4	0.000000
14	5	0.000000
14	6	0.360955
14	7	0.000000
14	8	0.000000
15	0	0.000000
15	1	0.000000
15	2	0.000000
15	3	0.000000
15	4	0.443359
15	5	0.000000
15	6	0.556641
15	7	0.000000
15	8	0.000000
16	0	0.000000
16	1	0.000000
16	2	0.142530
16	3	0.000161
16	4	0.000000
16	5	0.000000
16	6	0.391358
16	7	0.000000
16	8	0.465951
17	0	0.515875
17	1	0.371635
17	2	0.000000
17	3	0.000000
17	4	0.000000
17	5	0.000000
17	6	0.112490
17	7	0.000000
17	8	0.000000
18	0	0.522943
18	1	0.000000
18	2	0.000000
18	3	0.477057
18	4	0.000000
18	5	0.000000
18	6	0.000000
18	7	0.000000
18	8	0.000000
19	0	0.515844
19	1	0.000000
19	2	0.262597
19	3	0.000000
19	4	0.000000
19	5	0.000000
19	6	0.221558
19	7	0.000000
19	8	0.000000
20	0	0.000000
20	1	0.371595
20	2	0.000000
20	3	0.496555
20	4	0.000000
20	5	0.000000
20	6	0.131850
20	7	0.000000
20	8	0.000000
21	0	0.000000
21	1	0.000000
21	2	0.000000
21	3	0.496520
21	4	0.000000
21	5	0.000000
21	6	0.503480
21	7	0.000000
21	8	0.000000
22	0	0.492099
22	1	0.507901
22	2	0.000000
22	3	0.000000
22	4	0.000000
22	5	0.000000
22	6	0.000000
22	7	0.000000
22	8	0.000000
23	0	0.000000
23	1	0.371450
23	2	0.000000
23	3	0.000000
23	4	0.000000
23	5	0.000000
23	6	0.628550
23	7	0.000000
23	8	0.000000
24	0	0.000000
24	1	1.000000
24	2	0.000000
24	3	0.000000
24	4	0.000000
24	5	0.000000
24	6	0.000000
24	7	0.000000
24	8	0.000000
25	0	0.000000
25	1	0.000000
25	2	0.000000
25	3	0.496520
25	4	0.000000
25	5	0.000000
25	6	0.503480
25	7	0.000000
25	8	0.000000
26	0	0.515875
26	1	0.371635
26	2	0.000000
26	3	0.000000
26	4	0.000000
26	5	0.000000
26	6	0.112490
26	7	0.000000
26	8	0.000000
27	0	0.000000
27	1	0.000000
27	2	0.000000
27	3	0.410789
27	4	0.144185
27	5	0.000000
27	6	0.445026
27	7	0.000000
27	8	0.000000
28	0	0.000000
28	1	1.000000
28	2	0.000000
28	3	0.000000
28	4	0.000000
28	5	0.000000
28	6	0.000000
28	7	0.000000
28	8	0.000000
29	0	1.000000
29	1	0.000000
29	2	0.000000
29	3	0.000000
29	4	0.000000
29	5	0.000000
29	6	0.000000
29	7	0.000000
29	8	0.000000
30	0	0.442072
30	1	0.371559
30	2	0.000000
30	3	0.000000
30	4	0.000000
30	5	0.000000
30	6	0.186369
30	7	0.000000
30	8	0.000000
31	0	0.000000
31	1	0.370480
31	2	0.000000
31	3	0.317737
31	4	0.000000
31	5	0.000000
31	6	0.081957
31	7	0.000000
31	8	0.229826
32	0	0.000000
32	1	0.371450
32	2	0.000000
32	3	0.000000
32	4	0.000000
32	5	0.000000
32	6	0.628550
32	7	0.000000
32	8	0.000000
33	0	0.000000
33	1	1.000000
33	2	0.000000
33	3	0.000000
33	4	0.000000
33	5	0.000000
33	6	0.000000
33	7	0.000000
33	8	0.000000
34	0	0.000000
34	1	1.000000
34	2	0.000000
34	3	0.000000
34	4	0.000000
34	5	0.000000
34	6	0.000000
34	7	0.000000
34	8	0.000000
35	0	0.468590
35	1	0.015366
35	2	0.516045
35	3	0.000000
35	4	0.000000
35	5	0.000000
35	6	0.000000
35	7	0.000000
35	8	0.000000
36	0	0.000000
36	1	0.000000
36	2	0.000000
36	3	0.803126
36	4	0.000000
36	5	0.000000
36	6	0.000000
36	7	0.000000
36	8	0.196874
37	0	0.000000
37	1	0.000121
37	2	0.563148
37	3	0.000000
37	4	0.000000
37	5	0.000000
37	6	0.436730
37	7	0.000000
37	8	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.317860
38	4	0.000000
38	5	0.000000
38	6	0.452249
38	7	0.000000
38	8	0.229891
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.628607
39	4	0.000000
39	5	0.000000
39	6	0.000000
39	7	0.000000
39	8	0.371393
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
40	4	0.000000
40	5	0.333136
40	6	0.300113
40	7	0.366751
40	8	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
41	4	0.000000
41	5	1.000000
41	6	0.000000
41	7	0.000000
41	8	0.000000
42	0	0.442063
42	1	0.000000
42	2	0.000000
42	3	0.000000
42	4	0.000000
42	5	0.333308
42	6	0.224629
42	7	0.000000
42	8	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
43	4	0.000000
43	5	0.999903
43	6	0.000097
43	7	0.000000
43	8	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
44	4	0.000000
44	5	0.999891
44	6	0.000109
44	7	0.000000
44	8	0.000000
45	0	0.441998
45	1	0.157247
45	2	0.224909
45	3	0.000000
45	4	0.000000
45	5	0.000000
45	6	0.175846
45	7	0.000000
45	8	0.000000
46	0	0.517045
46	1	0.000000
46	2	0.000000
46	3	0.000000
46	4	0.000000
46	5	0.339303
46	6	0.143652
46	7	0.000000
46	8	0.000000
47	0	0.442052
47	1	0.000000
47	2	0.000000
47	3	0.000000
47	4	0.000000
47	5	0.000000
47	6	0.557948
47	7	0.000000
47	8	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
48	4	0.000000
48	5	0.665405
48	6	0.334594
48	7	0.000000
48	8	0.000000
49	0	0.000000
49	1	0.000000
49	2	0.000000
49	3	0.000000
49	4	0.000000
49	5	0.542808
49	6	0.457192
49	7	0.000000
49	8	0.000000
50	0	0.442047
50	1	0.000000
50	2	0.000000
50	3	0.000000
50	4	0.000000
50	5	0.000000
50	6	0.191134
50	7	0.366819
50	8	0.000000
51	0	0.000000
51	1	0.509519
51	2	0.490481
51	3	0.000000
51	4	0.000000
51	5	0.000000
51	6	0.000000
51	7	0.000000
51	8	0.000000
52	0	0.000000
52	1	1.000000
52	2	0.000000
52	3	0.000000
52	4	0.000000
52	5	0.000000
52	6	0.000000
52	7	0.000000
52	8	0.000000
53	0	0.514507
53	1	0.000000
53	2	0.000000
53	3	0.000000
53	4	0.000000
53	5	0.000000
53	6	0.001389
53	7	0.484103
53	8	0.000000
54	0	0.000000
54	1	0.000000
54	2	0.000000
54	3	0.317860
54	4	0.000000
54	5	0.000000
54	6	0.452249
54	7	0.000000
54	8	0.229891
55	0	0.000000
55	1	0.484887
55	2	0.000000
55	3	0.389166
55	4	0.125947
55	5	0.000000
55	6	0.000000
55	7	0.000000
55	8	0.000000
56	0	0.000000
56	1	0.509519
56	2	0.490481
56	3	0.000000
56	4	0.000000
56	5	0.000000
56	6	0.000000
56	7	0.000000
56	8	0.000000
57	0	0.000000
57	1	0.306402
57	2	0.000000
57	3	0.478087
57	4	0.000000
57	5	0.215511
57	6	0.000000
57	7	0.000000
57	8	0.000000
58	0	0.000000
58	1	0.371450
58	2	0.000000
58	3	0.000000
58	4	0.000000
58	5	0.000000
58	6	0.628550
58	7	0.000000
58	8	0.000000
59	0	0.000000
59	1	0.000000
59	2	0.000000
59	3	0.496561
59	4	0.000000
59	5	0.248491
59	6	0.254948
59	7	0.000000
59	8	0.000000
60	0	0.000000
60	1	0.000000
60	2	0.000000
60	3	0.269347
60	4	0.126124
60	5	0.000000
60	6	0.402415
60	7	0.000000
60	8	0.202114
61	0	0.000000
61	1	0.000060
61	2	0.462957
61	3	0.000000
61	4	0.000000
61	5	0.000000
61	6	0.536983
61	7	0.000000
61	8	0.000000
62	0	0.000000
62	1	0.000000
62	2	0.000000
62	3	0.410789
62	4	0.144185
62	5	0.000000
62	6	0.445026
62	7	0.000000
62	8	0.000000
63	0	0.000000
63	1	0.000000
63	2	0.000000
63	3	0.410789
63	4	0.144185
63	5	0.000000
63	6	0.445026
63	7	0.000000
63	8	0.000000
64	0	0.000000
64	1	0.000000
64	2	0.000000
64	3	1.000000
64	4	0.000000
64	5	0.000000
64	6	0.000000
64	7	0.000000
64	8	0.000000
65	0	0.000000
65	1	0.001554
65	2	0.488718
65	3	0.509728
65	4	0.000000
65	5	0.000000
65	6	0.000000
65	7	0.000000
65	8	0.000000
66	0	0.000000
66	1	0.000000
66	2	0.000000
66	3	0.000000
66	4	0.084587
66	5	0.000000
66	6	0.915413
66	7	0.000000
66	8	0.000000
67	0	0.000000
67	1	0.000000
67	2	0.000000
67	3	0.410789
67	4	0.144185
67	5	0.000000
67	6	0.445026
67	7	0.000000
67	8	0.000000
68	0	0.393721
68	1	0.000000
68	2	0.000000
68	3	0.000000
68	4	0.176546
68	5	0.000000
68	6	0.429734
68	7	0.000000
68	8	0.000000
69	0	0.000000
69	1	0.000000
69	2	0.000000
69	3	1.000000
69	4	0.000000
69	5	0.000000
69	6	0.000000
69	7	0.000000
69	8	0.000000
70	0	0.000000
70	1	0.000000
70	2	0.000000
70	3	1.000000
70	4	0.000000
70	5	0.000000
70	6	0.000000
70	7	0.000000
70	8	0.000000
71	0	0.000000
71	1	0.000000
71	2	0.000000
71	3	0.366734
71	4	0.375953
71	5	0.000000
71	6	0.000000
71	7	0.000000
71	8	0.257313
