i	k	etaik
0	0	1.000000
0	1	0.000000
1	0	0.000002
1	1	0.999998
2	0	0.468391
2	1	0.531609
3	0	0.000000
3	1	1.000000
4	0	0.711994
4	1	0.288006
5	0	0.000000
5	1	1.000000
6	0	0.459857
6	1	0.540143
7	0	0.999942
7	1	0.000058
8	0	0.000000
8	1	1.000000
9	0	0.607180
9	1	0.392820
10	0	0.999995
10	1	0.000005
11	0	0.013641
11	1	0.986359
12	0	0.000000
12	1	1.000000
13	0	0.000000
13	1	1.000000
14	0	1.000000
14	1	0.000000
15	0	0.000000
15	1	1.000000
16	0	0.015588
16	1	0.984412
17	0	0.999995
17	1	0.000005
18	0	0.000000
18	1	1.000000
19	0	0.610962
19	1	0.389038
20	0	0.000000
20	1	1.000000
21	0	0.000000
21	1	1.000000
22	0	0.000000
22	1	1.000000
23	0	1.000000
23	1	0.000000
24	0	0.000000
24	1	1.000000
25	0	0.304756
25	1	0.695244
26	0	0.000000
26	1	1.000000
27	0	0.000000
27	1	1.000000
28	0	0.473853
28	1	0.526147
29	0	0.000000
29	1	1.000000
30	0	0.999993
30	1	0.000007
31	0	0.000000
31	1	1.000000
32	0	0.000000
32	1	1.000000
33	0	0.999993
33	1	0.000007
34	0	0.999993
34	1	0.000007
35	0	0.000000
35	1	1.000000
36	0	0.360904
36	1	0.639096
37	0	0.459857
37	1	0.540143
38	0	0.999992
38	1	0.000008
39	0	0.000000
39	1	1.000000
40	0	0.607181
40	1	0.392819
41	0	1.000000
41	1	0.000000
42	0	0.999942
42	1	0.000058
43	0	1.000000
43	1	0.000000
44	0	1.000000
44	1	0.000000
45	0	1.000000
45	1	0.000000
46	0	1.000000
46	1	0.000000
47	0	1.000000
47	1	0.000000
48	0	0.623592
48	1	0.376408
49	0	1.000000
49	1	0.000000
50	0	1.000000
50	1	0.000000
51	0	0.468623
51	1	0.531377
52	0	0.000000
52	1	1.000000
53	0	0.405105
53	1	0.594895
54	0	0.000000
54	1	1.000000
55	0	0.366780
55	1	0.633220
56	0	0.468623
56	1	0.531377
57	0	0.310096
57	1	0.689904
58	0	0.404270
58	1	0.595730
59	0	0.000000
59	1	1.000000
60	0	0.017204
60	1	0.982796
61	0	0.000000
61	1	1.000000
62	0	0.000000
62	1	1.000000
63	0	1.000000
63	1	0.000000
64	0	0.000000
64	1	1.000000
65	0	0.468391
65	1	0.531609
66	0	0.000000
66	1	1.000000
67	0	0.385723
67	1	0.614277
68	0	0.000000
68	1	1.000000
69	0	0.623592
69	1	0.376408
70	0	0.018760
70	1	0.981240
71	0	0.000000
71	1	1.000000
72	0	0.000000
72	1	1.000000
73	0	0.000000
73	1	1.000000
74	0	0.999401
74	1	0.000599
75	0	0.000000
75	1	1.000000
76	0	0.366780
76	1	0.633220
77	0	0.468391
77	1	0.531609
78	0	0.000000
78	1	1.000000
79	0	1.000000
79	1	0.000000
80	0	0.999409
80	1	0.000591
81	0	0.999406
81	1	0.000594
82	0	0.013962
82	1	0.986038
83	0	0.999405
83	1	0.000595
84	0	0.999403
84	1	0.000597
85	0	1.000000
85	1	0.000000
86	0	0.999400
86	1	0.000600
87	0	1.000000
87	1	0.000000
88	0	0.999405
88	1	0.000595
89	0	0.016096
89	1	0.983904
90	0	0.000000
90	1	1.000000
91	0	0.000000
91	1	1.000000
92	0	0.000000
92	1	1.000000
93	0	0.017568
93	1	0.982432
94	0	0.013641
94	1	0.986359
95	0	0.000000
95	1	1.000000
96	0	0.000000
96	1	1.000000
97	0	0.468391
97	1	0.531609
98	0	0.016431
98	1	0.983569
99	0	0.999940
99	1	0.000060
100	0	0.999990
100	1	0.000010
101	0	0.000000
101	1	1.000000
102	0	1.000000
102	1	0.000000
103	0	0.360904
103	1	0.639096
104	0	1.000000
104	1	0.000000
105	0	0.999848
105	1	0.000152
106	0	0.999411
106	1	0.000589
107	0	0.552133
107	1	0.447867
108	0	0.000000
108	1	1.000000
109	0	1.000000
109	1	0.000000
110	0	0.000000
110	1	1.000000
111	0	1.000000
111	1	0.000000
112	0	0.999400
112	1	0.000600
113	0	1.000000
113	1	0.000000
114	0	1.000000
114	1	0.000000
115	0	1.000000
115	1	0.000000
116	0	1.000000
116	1	0.000000
117	0	0.283537
117	1	0.716463
118	0	1.000000
118	1	0.000000
119	0	0.017568
119	1	0.982432
120	0	0.999400
120	1	0.000600
121	0	0.610962
121	1	0.389038
122	0	1.000000
122	1	0.000000
123	0	1.000000
123	1	0.000000
124	0	0.610962
124	1	0.389038
125	0	1.000000
125	1	0.000000
126	0	0.610962
126	1	0.389038
127	0	0.000000
127	1	1.000000
128	0	1.000000
128	1	0.000000
129	0	0.610962
129	1	0.389038
130	0	0.999405
130	1	0.000595
131	0	0.459857
131	1	0.540143
132	0	1.000000
132	1	0.000000
133	0	0.268832
133	1	0.731168
134	0	0.999996
134	1	0.000004
135	0	0.999999
135	1	0.000001
136	0	0.663086
136	1	0.336914
137	0	0.304756
137	1	0.695244
138	0	0.663086
138	1	0.336914
139	0	0.610962
139	1	0.389038
140	0	0.999413
140	1	0.000587
141	0	0.310096
141	1	0.689904
142	0	1.000000
142	1	0.000000
143	0	0.999995
143	1	0.000005
144	0	0.663088
144	1	0.336912
145	0	1.000000
145	1	0.000000
146	0	0.999995
146	1	0.000005
147	0	1.000000
147	1	0.000000
148	0	0.000000
148	1	1.000000
149	0	1.000000
149	1	0.000000

