File,AIC
ILM15_replicate0_0.str.admix.K=10.out,4792.690026
ILM15_replicate0_10.str.admix.K=10.out,5521.183929
ILM15_replicate0_11.str.admix.K=10.out,5042.670518
ILM15_replicate0_12.str.admix.K=10.out,4093.906712
ILM15_replicate0_13.str.admix.K=10.out,8491.065240
ILM15_replicate0_14.str.admix.K=10.out,6456.049928
ILM15_replicate0_15.str.admix.K=10.out,5288.626748
ILM15_replicate0_16.str.admix.K=10.out,9059.104859
ILM15_replicate0_17.str.admix.K=10.out,5268.773603
ILM15_replicate0_18.str.admix.K=10.out,5075.923001
ILM15_replicate0_19.str.admix.K=10.out,5026.457162
ILM15_replicate0_1.str.admix.K=10.out,6133.131255
ILM15_replicate0_2.str.admix.K=10.out,11773.214277
ILM15_replicate0_3.str.admix.K=10.out,4397.592438
ILM15_replicate0_4.str.admix.K=10.out,5736.695233
ILM15_replicate0_5.str.admix.K=10.out,5377.825615
ILM15_replicate0_6.str.admix.K=10.out,8011.850036
ILM15_replicate0_7.str.admix.K=10.out,4153.225295
ILM15_replicate0_8.str.admix.K=10.out,6099.821552
ILM15_replicate0_9.str.admix.K=10.out,9205.537054
ILM15_replicate1_0.str.admix.K=10.out,6385.980479
ILM15_replicate1_10.str.admix.K=10.out,4834.742858
ILM15_replicate1_11.str.admix.K=10.out,5234.883652
ILM15_replicate1_12.str.admix.K=10.out,6167.675409
ILM15_replicate1_13.str.admix.K=10.out,7049.202316
ILM15_replicate1_14.str.admix.K=10.out,5934.859933
ILM15_replicate1_15.str.admix.K=10.out,5438.164714
ILM15_replicate1_16.str.admix.K=10.out,5662.035712
ILM15_replicate1_17.str.admix.K=10.out,5316.188108
ILM15_replicate1_18.str.admix.K=10.out,5492.422134
ILM15_replicate1_19.str.admix.K=10.out,6893.294497
ILM15_replicate1_1.str.admix.K=10.out,5408.990643
ILM15_replicate1_2.str.admix.K=10.out,5476.277651
ILM15_replicate1_3.str.admix.K=10.out,5860.967674
ILM15_replicate1_4.str.admix.K=10.out,6726.259177
ILM15_replicate1_5.str.admix.K=10.out,4999.060285
ILM15_replicate1_6.str.admix.K=10.out,4324.483194
ILM15_replicate1_7.str.admix.K=10.out,6113.096366
ILM15_replicate1_8.str.admix.K=10.out,5593.975713
ILM15_replicate1_9.str.admix.K=10.out,6732.937839
ILM15_replicate2_0.str.admix.K=10.out,6768.544140
ILM15_replicate2_10.str.admix.K=10.out,5860.967674
ILM15_replicate2_11.str.admix.K=10.out,5730.683206
ILM15_replicate2_12.str.admix.K=10.out,5357.990947
ILM15_replicate2_13.str.admix.K=10.out,5343.708953
ILM15_replicate2_14.str.admix.K=10.out,7453.491729
ILM15_replicate2_15.str.admix.K=10.out,7730.751624
ILM15_replicate2_16.str.admix.K=10.out,6091.675953
ILM15_replicate2_17.str.admix.K=10.out,6272.183518
ILM15_replicate2_18.str.admix.K=10.out,5698.855649
ILM15_replicate2_19.str.admix.K=10.out,4833.514244
ILM15_replicate2_1.str.admix.K=10.out,4270.731799
ILM15_replicate2_2.str.admix.K=10.out,4715.560893
ILM15_replicate2_3.str.admix.K=10.out,4674.960816
ILM15_replicate2_4.str.admix.K=10.out,6052.332409
ILM15_replicate2_5.str.admix.K=10.out,5345.898507
ILM15_replicate2_6.str.admix.K=10.out,6272.627967
ILM15_replicate2_7.str.admix.K=10.out,5441.273738
ILM15_replicate2_8.str.admix.K=10.out,7409.833566
ILM15_replicate2_9.str.admix.K=10.out,9176.995998
ILM15_replicate3_0.str.admix.K=10.out,6486.226779
ILM15_replicate3_10.str.admix.K=10.out,6914.314286
ILM15_replicate3_11.str.admix.K=10.out,11574.374514
ILM15_replicate3_12.str.admix.K=10.out,6102.290988
ILM15_replicate3_13.str.admix.K=10.out,6301.602103
ILM15_replicate3_14.str.admix.K=10.out,5814.408415
ILM15_replicate3_15.str.admix.K=10.out,6295.876146
ILM15_replicate3_16.str.admix.K=10.out,5986.468655
ILM15_replicate3_17.str.admix.K=10.out,8022.007578
ILM15_replicate3_18.str.admix.K=10.out,4847.596198
ILM15_replicate3_19.str.admix.K=10.out,8071.395556
ILM15_replicate3_1.str.admix.K=10.out,6121.576904
ILM15_replicate3_2.str.admix.K=10.out,4135.286832
ILM15_replicate3_3.str.admix.K=10.out,5990.213731
ILM15_replicate3_4.str.admix.K=10.out,7095.018102
ILM15_replicate3_5.str.admix.K=10.out,5009.470114
ILM15_replicate3_6.str.admix.K=10.out,7096.274860
ILM15_replicate3_7.str.admix.K=10.out,4914.541915
ILM15_replicate3_8.str.admix.K=10.out,6099.310543
ILM15_replicate3_9.str.admix.K=10.out,5724.972808
ILM15_replicate4_0.str.admix.K=10.out,6178.891416
ILM15_replicate4_10.str.admix.K=10.out,6095.588987
ILM15_replicate4_11.str.admix.K=10.out,6113.652982
ILM15_replicate4_12.str.admix.K=10.out,5209.229528
ILM15_replicate4_13.str.admix.K=10.out,8276.631157
ILM15_replicate4_14.str.admix.K=10.out,7228.813499
ILM15_replicate4_15.str.admix.K=10.out,6496.834899
ILM15_replicate4_16.str.admix.K=10.out,5354.495196
ILM15_replicate4_17.str.admix.K=10.out,7576.989479
ILM15_replicate4_18.str.admix.K=10.out,4655.247535
ILM15_replicate4_19.str.admix.K=10.out,6814.691740
ILM15_replicate4_1.str.admix.K=10.out,7165.351203
ILM15_replicate4_2.str.admix.K=10.out,4653.303641
ILM15_replicate4_3.str.admix.K=10.out,4628.786312
ILM15_replicate4_4.str.admix.K=10.out,7781.368685
ILM15_replicate4_5.str.admix.K=10.out,6235.556123
ILM15_replicate4_6.str.admix.K=10.out,7488.078182
ILM15_replicate4_7.str.admix.K=10.out,5904.629416
ILM15_replicate4_8.str.admix.K=10.out,4477.910969
ILM15_replicate4_9.str.admix.K=10.out,6812.585828
ILM15_replicate5_0.str.admix.K=10.out,6813.388914
ILM15_replicate5_10.str.admix.K=10.out,5188.564179
ILM15_replicate5_11.str.admix.K=10.out,5479.838674
ILM15_replicate5_12.str.admix.K=10.out,6559.750582
ILM15_replicate5_13.str.admix.K=10.out,4953.336403
ILM15_replicate5_14.str.admix.K=10.out,3786.618717
ILM15_replicate5_15.str.admix.K=10.out,6250.618367
ILM15_replicate5_16.str.admix.K=10.out,5202.578478
ILM15_replicate5_17.str.admix.K=10.out,6717.481132
ILM15_replicate5_18.str.admix.K=10.out,4592.161414
ILM15_replicate5_19.str.admix.K=10.out,5918.959503
ILM15_replicate5_1.str.admix.K=10.out,5672.415087
ILM15_replicate5_2.str.admix.K=10.out,7004.945361
ILM15_replicate5_3.str.admix.K=10.out,4988.653878
ILM15_replicate5_4.str.admix.K=10.out,5251.415358
ILM15_replicate5_5.str.admix.K=10.out,5745.534846
ILM15_replicate5_6.str.admix.K=10.out,4606.052998
ILM15_replicate5_7.str.admix.K=10.out,5661.019238
ILM15_replicate5_8.str.admix.K=10.out,6161.518388
ILM15_replicate5_9.str.admix.K=10.out,5186.252963
ILM15_replicate6_0.str.admix.K=10.out,4691.042631
ILM15_replicate6_10.str.admix.K=10.out,5917.650499
ILM15_replicate6_11.str.admix.K=10.out,5986.140422
ILM15_replicate6_12.str.admix.K=10.out,4746.370587
ILM15_replicate6_13.str.admix.K=10.out,5863.745664
ILM15_replicate6_14.str.admix.K=10.out,7084.322963
ILM15_replicate6_15.str.admix.K=10.out,6811.129446
ILM15_replicate6_16.str.admix.K=10.out,4889.907985
ILM15_replicate6_17.str.admix.K=10.out,6720.517474
ILM15_replicate6_18.str.admix.K=10.out,5888.585926
ILM15_replicate6_19.str.admix.K=10.out,6579.980389
ILM15_replicate6_1.str.admix.K=10.out,8894.432003
ILM15_replicate6_2.str.admix.K=10.out,6289.736453
ILM15_replicate6_3.str.admix.K=10.out,6897.405466
ILM15_replicate6_4.str.admix.K=10.out,4592.161414
ILM15_replicate6_5.str.admix.K=10.out,14711.337623
ILM15_replicate6_6.str.admix.K=10.out,9484.667048
ILM15_replicate6_7.str.admix.K=10.out,5170.339493
ILM15_replicate6_8.str.admix.K=10.out,4807.697770
ILM15_replicate6_9.str.admix.K=10.out,7500.167081
ILM15_replicate7_0.str.admix.K=10.out,5241.132368
ILM15_replicate7_10.str.admix.K=10.out,6350.420041
ILM15_replicate7_11.str.admix.K=10.out,6228.223858
ILM15_replicate7_12.str.admix.K=10.out,7402.397508
ILM15_replicate7_13.str.admix.K=10.out,7190.174530
ILM15_replicate7_14.str.admix.K=10.out,5143.913776
ILM15_replicate7_15.str.admix.K=10.out,7719.445973
ILM15_replicate7_16.str.admix.K=10.out,6646.054764
ILM15_replicate7_17.str.admix.K=10.out,6318.894012
